Pixel 1,
V (V),J (A/cm^2)
-5.0031,-1.8264e-05
-4.9038,-8.0816e-06
-4.8019,-2.7475e-06
-4.7039,-6.0807e-07
-4.6049,2.7372e-07
-4.5052,5.4069e-07
-4.4049,5.7061e-07
-4.3051,5.9259e-07
-4.2051,6.1816e-07
-4.105,6.5483e-07
-4.0051,6.3276e-07
-3.9048,6.7931e-07
-3.8049,6.8639e-07
-3.705,6.6851e-07
-3.6049,7.0578e-07
-3.505,7.2481e-07
-3.4047,7.246e-07
-3.3047,7.1253e-07
-3.2048,7.609e-07
-3.105,7.7881e-07
-3.0048,7.822e-07
-2.9048,7.9758e-07
-2.8048,7.9583e-07
-2.7047,7.8713e-07
-2.6048,8.1774e-07
-2.5045,8.1485e-07
-2.4046,8.5555e-07
-2.3048,8.4681e-07
-2.2048,8.5728e-07
-2.1047,8.9292e-07
-2.0044,9.0038e-07
-1.9045,8.9488e-07
-1.8046,9.4077e-07
-1.7048,9.3782e-07
-1.6049,9.4235e-07
-1.5045,9.5669e-07
-1.4046,9.9779e-07
-1.3046,9.803e-07
-1.2047,1.0075e-06
-1.1045,1.0305e-06
-1.0046,1.045e-06
-0.90452,1.0452e-06
-0.80457,1.0459e-06
-0.70457,1.048e-06
-0.60414,1.0568e-06
-0.50429,1.0826e-06
-0.40443,1.0938e-06
-0.30454,1.0852e-06
-0.20454,1.1294e-06
-0.1043,1.1153e-06
-0.004268,1.1526e-06
0.095579,1.1515e-06
0.19557,1.1703e-06
0.29585,1.1465e-06
0.39558,1.1687e-06
0.49563,1.1699e-06
0.59559,1.1935e-06
0.69583,1.214e-06
0.79591,1.202e-06
0.89592,1.2382e-06
0.99584,1.2263e-06
1.0957,1.2404e-06
1.1958,1.2768e-06
1.2958,1.2839e-06
1.3958,1.2965e-06
1.4957,1.3477e-06
1.5961,1.3328e-06
1.6959,1.3879e-06
1.7956,1.399e-06
1.8956,1.417e-06
1.996,1.4335e-06
2.096,1.4756e-06
2.1959,1.5389e-06
2.296,1.5656e-06
2.396,1.5995e-06
2.4959,1.6371e-06
2.5958,1.7126e-06
2.6956,1.7971e-06
2.796,1.8175e-06
2.8959,1.8967e-06
2.9959,1.9983e-06
3.0956,2.0831e-06
3.1957,2.1848e-06
3.2956,2.3424e-06
3.3955,2.4237e-06
3.4953,2.5583e-06
3.595,2.858e-06
3.6955,2.8979e-06
3.7951,2.982e-06
3.8949,3.1695e-06
3.9947,3.4275e-06
4.0947,3.5553e-06
4.1945,3.8501e-06
4.2943,4.1208e-06
4.3941,4.1701e-06
4.4938,4.545e-06
4.5935,4.7843e-06
4.6932,4.9977e-06
4.7929,5.2309e-06
4.893,5.641e-06
4.9924,6.1538e-06
