Photodiode Current (A),Temperature (C)
1.1936e-06,-267.79052863436124
1.2093e-06,-267.9473568281938
1.2096e-06,-267.77731277533036
1.1909e-06,-267.9121145374449
1.2265e-06,-267.7830396475771
1.194e-06,-267.9156387665198
1.2301e-06,-267.7874449339207
1.1886e-06,-267.88568281938325
1.2307e-06,-267.8169603524229
1.1876e-06,-267.8636563876652
1.2151e-06,-267.6420704845815
1.2563e-06,-267.73898678414093
1.2125e-06,-267.63898678414097
1.2451e-06,-267.761013215859
1.235e-06,-267.6046255506608
1.2353e-06,-267.72180616740087
1.2485e-06,-267.6055066079295
1.2215e-06,-267.69713656387665
1.262e-06,-267.645154185022
1.2207e-06,-267.64603524229074
