Photodiode Current (A),Temperature (C)
-8.7655e-08,-272.7656079295154
-9.1214e-08,-272.7665330396475
-8.8953e-08,-272.7865462555066
-8.644e-08,-272.7733568281938
-8.531e-08,-272.7675462555066
-8.6859e-08,-272.75168281938323
-8.4221e-08,-272.7661629955947
-8.4849e-08,-272.77086784140965
-8.9978e-08,-272.7782422907489
-9.2051e-08,-272.779167400881
-1.0857e-07,-272.7467929515418
-1.0576e-07,-272.762013215859
-9.8939e-08,-272.7959515418502
-8.5121e-08,-272.7847929515418
-9.6217e-08,-272.7562026431718
-9.1109e-08,-272.7882070484581
-8.7654e-08,-272.74965198237885
-9.0816e-08,-272.79051101321585
-9.1653e-08,-272.778154185022
-9.3224e-08,-272.78276211453743
