wavelength (nm),Spectral irradiance (W⋅m–2⋅nm–1),Cumulative photon flux (cm–2⋅s–1)
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,4.72E-23,0.000000003324
281,4.214E-20,0.000005961
282,1.767E-18,0.0002566
283,1.916E-17,0.002984
284,9.913E-16,0.1446
285,1.524E-14,2.33
286,2.876E-13,43.72
287,4.299E-12,664.4
288,7.658E-11,11760
289,8.408E-10,134000
290,0.000000006943,1147000
291,0.00000004818,8200000
292,0.0000002678,47530000
293,0.000001103,210100000
294,0.000004288,844200000
295,0.00001472,3029000000
296,0.0000486,10270000000
297,0.0001125,27080000000
298,0.0002803,69100000000
299,0.0005493,151700000000
300,0.001015,304800000000
301,0.001925,596300000000
302,0.0032,1083000000000
303,0.006875,2131000000000
304,0.009925,3649000000000
305,0.01585,6081000000000
306,0.01918,9033000000000
307,0.02803,13360000000000
308,0.03805,19260000000000
309,0.04133,25680000000000
310,0.05253,33870000000000
311,0.07863,46180000000000
312,0.09218,60640000000000
313,0.1049,77170000000000
314,0.1188,95930000000000
315,0.13,116500000000000
316,0.1285,137000000000000
317,0.1685,163800000000000
318,0.1793,192500000000000
319,0.197,224100000000000
320,0.2125,258300000000000
321,0.2458,298000000000000
322,0.2243,334300000000000
323,0.2223,370500000000000
324,0.27,414500000000000
325,0.2903,461900000000000
326,0.3723,523000000000000
327,0.396,588100000000000
328,0.3638,648200000000000
329,0.42,717700000000000
330,0.4585,793800000000000
331,0.412,862400000000000
332,0.4313,934400000000000
333,0.425,1006000000000000
334,0.4195,1076000000000000
335,0.4555,1153000000000000
336,0.4153,1223000000000000
337,0.3815,1288000000000000
338,0.4298,1361000000000000
339,0.4628,1440000000000000
340,0.493,1524000000000000
341,0.4768,1606000000000000
342,0.4875,1690000000000000
343,0.5043,1777000000000000
344,0.4303,1851000000000000
345,0.4515,1930000000000000
346,0.4813,2013000000000000
347,0.4865,2098000000000000
348,0.4763,2182000000000000
349,0.4718,2265000000000000
350,0.5238,2357000000000000
351,0.5488,2454000000000000
352,0.5123,2544000000000000
353,0.5243,2637000000000000
354,0.5968,2744000000000000
355,0.6048,2852000000000000
356,0.5528,2951000000000000
357,0.4723,3036000000000000
358,0.4293,3113000000000000
359,0.4745,3199000000000000
360,0.58,3304000000000000
361,0.5275,3399000000000000
362,0.5393,3498000000000000
363,0.5918,3606000000000000
364,0.5983,3715000000000000
365,0.6318,3831000000000000
366,0.721,3964000000000000
367,0.7208,4097000000000000
368,0.675,4222000000000000
369,0.6965,4351000000000000
370,0.7325,4488000000000000
371,0.6953,4618000000000000
372,0.6763,4744000000000000
373,0.6078,4858000000000000
374,0.5543,4962000000000000
375,0.5943,5075000000000000
376,0.6645,5200000000000000
377,0.7185,5337000000000000
378,0.833,5495000000000000
379,0.7453,5637000000000000
380,0.703,5771000000000000
381,0.7398,5913000000000000
382,0.5905,6027000000000000
383,0.4633,6116000000000000
384,0.5168,6216000000000000
385,0.6495,6342000000000000
386,0.631,6464000000000000
387,0.646,6590000000000000
388,0.6345,6714000000000000
389,0.6885,6849000000000000
390,0.7873,7003000000000000
391,0.84,7168000000000000
392,0.777,7321000000000000
393,0.4993,7420000000000000
394,0.5125,7522000000000000
395,0.7875,7678000000000000
396,0.7288,7823000000000000
397,0.5068,7925000000000000
398,0.832,8091000000000000
399,1.06,8304000000000000
400,1.114,8528000000000000
401,1.159,8762000000000000
402,1.19,9003000000000000
403,1.168,9.239E+015
404,1.174,9.478E+015
405,1.15,9.712E+015
406,1.121,9.941E+015
407,1.109,1.017E+016
408,1.154,1.041E+016
409,1.198,1.065E+016
410,1.088,1.088E+016
411,1.164,1.112E+016
412,1.225,1.137E+016
413,1.195,1.162E+016
414,1.186,1.187E+016
415,1.22,1.212E+016
416,1.251,1.238E+016
417,1.226,1.264E+016
418,1.184,1.289E+016
419,1.201,1.314E+016
420,1.151,1.339E+016
421,1.249,1.365E+016
422,1.248,1.391E+016
423,1.215,1.417E+016
424,1.215,1.443E+016
425,1.24,1.47E+016
426,1.21,1.496E+016
427,1.176,1.521E+016
428,1.168,1.546E+016
429,1.074,1.569E+016
430,0.8893,1.588E+016
431,0.868,1.607E+016
432,1.243,1.634E+016
433,1.229,1.661E+016
434,1.156,1.686E+016
435,1.241,1.713E+016
436,1.349,1.743E+016
437,1.365,1.773E+016
438,1.235,1.8E+016
439,1.199,1.827E+016
440,1.325,1.856E+016
441,1.344,1.886E+016
442,1.411,1.917E+016
443,1.433,1.949E+016
444,1.413,1.981E+016
445,1.434,2.013E+016
446,1.351,2.043E+016
447,1.469,2.076E+016
448,1.499,2.11E+016
449,1.508,2.144E+016
450,1.559,2.179E+016
451,1.595,2.216E+016
452,1.535,2.25E+016
453,1.456,2.284E+016
454,1.516,2.318E+016
455,1.528,2.353E+016
456,1.565,2.389E+016
457,1.575,2.425E+016
458,1.551,2.461E+016
459,1.531,2.496E+016
460,1.529,2.532E+016
461,1.574,2.568E+016
462,1.59,2.605E+016
463,1.593,2.642E+016
464,1.554,2.679E+016
465,1.536,2.715E+016
466,1.548,2.751E+016
467,1.508,2.786E+016
468,1.551,2.823E+016
469,1.553,2.859E+016
470,1.511,2.895E+016
471,1.536,2.932E+016
472,1.593,2.969E+016
473,1.559,3.006E+016
474,1.565,3.044E+016
475,1.598,3.082E+016
476,1.568,3.12E+016
477,1.575,3.157E+016
478,1.61,3.196E+016
479,1.596,3.235E+016
480,1.608,3.273E+016
481,1.611,3.312E+016
482,1.616,3.352E+016
483,1.599,3.39E+016
484,1.573,3.429E+016
485,1.525,3.466E+016
486,1.325,3.498E+016
487,1.416,3.533E+016
488,1.514,3.57E+016
489,1.483,3.607E+016
490,1.591,3.646E+016
491,1.558,3.684E+016
492,1.504,3.722E+016
493,1.571,3.76E+016
494,1.566,3.799E+016
495,1.619,3.84E+016
496,1.574,3.879E+016
497,1.581,3.919E+016
498,1.555,3.958E+016
499,1.549,3.996E+016
500,1.535,4.035E+016
501,1.496,4.073E+016
502,1.499,4.111E+016
503,1.538,4.149E+016
504,1.478,4.187E+016
505,1.554,4.226E+016
506,1.604,4.267E+016
507,1.554,4.307E+016
508,1.524,4.346E+016
509,1.566,4.386E+016
510,1.549,4.426E+016
511,1.571,4.466E+016
512,1.594,4.507E+016
513,1.526,4.546E+016
