"","Channel 3 Last (C)","Channel 3 Ave. (C)","Channel 3 Min. (C)","Channel 3 Max. (C)","Channel 7 Last (C)","Channel 7 Ave. (C)","Channel 7 Min. (C)","Channel 7 Max. (C)"
"00:00:00","21.667","21.667","21.667","21.667","21.709","21.709","21.709","21.709"
"00:00:01","21.664","21.664","21.664","21.664","21.705","21.705","21.705","21.705"
"00:00:02","21.661","21.661","21.661","21.661","21.709","21.709","21.709","21.709"
"00:00:03","21.659","21.659","21.659","21.659","21.703","21.703","21.703","21.703"
"00:00:04","21.656","21.656","21.656","21.656","21.701","21.701","21.701","21.701"
"00:00:05","21.654","21.654","21.654","21.654","21.695","21.695","21.695","21.695"
"00:00:06","21.658","21.658","21.658","21.658","21.692","21.692","21.692","21.692"
"00:00:07","21.672","21.672","21.672","21.672","21.695","21.695","21.695","21.695"
"00:00:08","21.673","21.673","21.673","21.673","21.699","21.699","21.699","21.699"
"00:00:09","21.697","21.697","21.697","21.697","21.707","21.707","21.707","21.707"
"00:00:10","21.716","21.716","21.716","21.716","21.714","21.714","21.714","21.714"
"00:00:11","21.726","21.726","21.726","21.726","21.726","21.726","21.726","21.726"
"00:00:12","21.759","21.759","21.759","21.759","21.733","21.733","21.733","21.733"
"00:00:13","21.777","21.777","21.777","21.777","21.747","21.747","21.747","21.747"
"00:00:14","21.789","21.789","21.789","21.789","21.741","21.741","21.741","21.741"
"00:00:15","21.829","21.829","21.829","21.829","21.764","21.764","21.764","21.764"
"00:00:16","21.855","21.855","21.855","21.855","21.773","21.773","21.773","21.773"
"00:00:17","21.866","21.866","21.866","21.866","21.778","21.778","21.778","21.778"
"00:00:18","21.923","21.923","21.923","21.923","21.812","21.812","21.812","21.812"
"00:00:19","21.956","21.956","21.956","21.956","21.826","21.826","21.826","21.826"
"00:00:20","21.978","21.978","21.978","21.978","21.834","21.834","21.834","21.834"
"00:00:21","22.034","22.034","22.034","22.034","21.861","21.861","21.861","21.861"
"00:00:22","22.067","22.067","22.067","22.067","21.881","21.881","21.881","21.881"
"00:00:23","22.096","22.096","22.096","22.096","21.897","21.897","21.897","21.897"
"00:00:24","22.161","22.161","22.161","22.161","21.924","21.924","21.924","21.924"
"00:00:25","22.198","22.198","22.198","22.198","21.943","21.943","21.943","21.943"
"00:00:26","22.218","22.218","22.218","22.218","21.957","21.957","21.957","21.957"
"00:00:27","22.295","22.295","22.295","22.295","21.992","21.992","21.992","21.992"
"00:00:28","22.332","22.332","22.332","22.332","22.010","22.010","22.010","22.010"
"00:00:29","22.365","22.365","22.365","22.365","22.027","22.027","22.027","22.027"
"00:00:30","22.442","22.442","22.442","22.442","22.062","22.062","22.062","22.062"
"00:00:31","22.478","22.478","22.478","22.478","22.083","22.083","22.083","22.083"
"00:00:32","22.510","22.510","22.510","22.510","22.105","22.105","22.105","22.105"
"00:00:33","22.579","22.579","22.579","22.579","22.142","22.142","22.142","22.142"
"00:00:34","22.625","22.625","22.625","22.625","22.163","22.163","22.163","22.163"
"00:00:35","22.657","22.657","22.657","22.657","22.183","22.183","22.183","22.183"
"00:00:36","22.735","22.735","22.735","22.735","22.226","22.226","22.226","22.226"
"00:00:37","22.786","22.786","22.786","22.786","22.251","22.251","22.251","22.251"
"00:00:38","22.813","22.813","22.813","22.813","22.272","22.272","22.272","22.272"
"00:00:39","22.900","22.900","22.900","22.900","22.321","22.321","22.321","22.321"
"00:00:40","22.946","22.946","22.946","22.946","22.348","22.348","22.348","22.348"
"00:00:41","22.983","22.983","22.983","22.983","22.365","22.365","22.365","22.365"
"00:00:42","23.061","23.061","23.061","23.061","22.404","22.404","22.404","22.404"
"00:00:43","23.107","23.107","23.107","23.107","22.429","22.429","22.429","22.429"
