Pixel 1,
V (V),J (A/cm^2)
-5.0001,-5.8459e-05
-4.9012,-4.217e-05
-4.8024,-3.0376e-05
-4.7031,-2.184e-05
-4.6038,-1.571e-05
-4.5042,-1.13e-05
-4.397,-7.9544e-06
-4.2993,-5.7776e-06
-4.2008,-4.1973e-06
-4.1019,-3.0525e-06
-4.0028,-2.2268e-06
-3.9031,-1.6265e-06
-3.8035,-1.1946e-06
-3.7039,-8.8221e-07
-3.6041,-6.5658e-07
-3.5043,-4.9137e-07
-3.4041,-3.7164e-07
-3.3042,-2.8485e-07
-3.2043,-2.2198e-07
-3.1046,-1.7524e-07
-3.0044,-1.4055e-07
-2.9044,-1.1486e-07
-2.8044,-9.5943e-08
-2.7043,-8.1932e-08
-2.6044,-7.0596e-08
-2.5041,-6.1973e-08
-2.4042,-5.521e-08
-2.3043,-4.9706e-08
-2.2043,-4.5314e-08
-2.1042,-4.1661e-08
-2.0039,-3.8058e-08
-1.904,-3.4921e-08
-1.804,-3.2115e-08
-1.7043,-2.9556e-08
-1.6043,-2.7384e-08
-1.5039,-2.5252e-08
-1.404,-2.3217e-08
-1.304,-2.1235e-08
-1.204,-1.9197e-08
-1.1038,-1.741e-08
-1.0039,-1.5476e-08
-0.90385,-1.37e-08
-0.80393,-1.2001e-08
-0.70388,-1.0263e-08
-0.60344,-8.3975e-09
-0.50357,-6.8612e-09
-0.40363,-5.066e-09
-0.30379,-3.3328e-09
-0.20377,-1.8128e-09
-0.10348,-4.7958e-12
-0.0034637,1.8251e-09
0.096438,3.293e-09
0.19642,4.9359e-09
0.29669,6.7761e-09
0.39648,8.3799e-09
0.49653,1.0055e-08
0.59647,1.1805e-08
0.69673,1.3544e-08
0.79679,1.5229e-08
0.89684,1.7431e-08
0.99675,1.8826e-08
1.0966,2.0754e-08
1.1969,2.2569e-08
1.2968,2.4324e-08
1.3969,2.6243e-08
1.4968,2.8273e-08
1.5971,3.006e-08
1.697,3.187e-08
1.7968,3.402e-08
1.8968,3.5909e-08
1.9971,3.7694e-08
2.0972,3.9718e-08
2.1972,4.1766e-08
2.2973,4.3583e-08
2.3973,4.5495e-08
2.4973,4.7599e-08
2.5973,4.9382e-08
2.6972,5.1793e-08
2.7976,5.3687e-08
2.8976,5.567e-08
2.9976,5.7991e-08
3.0974,5.9429e-08
3.1977,6.196e-08
3.2977,6.3907e-08
3.3978,6.6011e-08
3.4976,6.8161e-08
3.5977,7.0297e-08
3.6982,7.2136e-08
3.7978,7.5412e-08
3.8979,7.6393e-08
3.9979,7.8582e-08
4.0981,8.0727e-08
4.1981,8.325e-08
4.2982,8.5749e-08
4.3981,8.8036e-08
4.4982,9.0673e-08
4.5982,9.2114e-08
4.6981,9.5119e-08
4.7981,9.7562e-08
4.8983,9.8953e-08
4.9983,1.0199e-07
