Pixel 1,
V (V),J (A/cm^2)
-4.9968,-0.00084009
-4.8983,-0.00066082
-4.7999,-0.00051394
-4.701,-0.00039526
-4.602,-0.00030139
-4.5027,-0.00022806
-4.403,-0.00017135
-4.3035,-0.00012825
-4.1963,-9.3107e-05
-4.0983,-6.9519e-05
-4.0001,-5.1823e-05
-3.901,-3.8499e-05
-3.8019,-2.8597e-05
-3.7027,-2.1231e-05
-3.6031,-1.5756e-05
-3.5035,-1.1698e-05
-3.3958,-8.4784e-06
-3.2979,-6.3404e-06
-3.1996,-4.7401e-06
-3.101,-3.5445e-06
-3.0017,-2.6463e-06
-2.9023,-1.9801e-06
-2.8028,-1.4834e-06
-2.703,-1.1122e-06
-2.6034,-8.3642e-07
-2.5033,-6.2982e-07
-2.4035,-4.7671e-07
-2.3038,-3.6303e-07
-2.2039,-2.7762e-07
-2.1038,-2.1427e-07
-2.0036,-1.6625e-07
-1.9037,-1.3078e-07
-1.8037,-1.0377e-07
-1.704,-8.395e-08
-1.6041,-6.8781e-08
-1.5037,-5.6782e-08
-1.4037,-4.7698e-08
-1.3037,-4.0445e-08
-1.2038,-3.4788e-08
-1.1035,-3.0568e-08
-1.0037,-2.7232e-08
-0.90356,-2.3824e-08
-0.80363,-2.0421e-08
-0.70362,-1.7102e-08
-0.60322,-1.3861e-08
-0.50334,-1.1035e-08
-0.4034,-8.2694e-09
-0.30353,-5.6838e-09
-0.20352,-3.259e-09
-0.10328,-1.1222e-09
-0.0032294,1.2378e-09
0.096673,3.4125e-09
0.19668,5.247e-09
0.29694,7.34e-09
0.39672,9.6173e-09
0.49675,1.1412e-08
0.59667,1.3648e-08
0.69694,1.54e-08
0.79704,1.7578e-08
0.89708,1.9964e-08
0.99704,2.1924e-08
1.0968,2.4371e-08
1.1971,2.6038e-08
1.297,2.822e-08
1.3971,3.1222e-08
1.497,3.3752e-08
1.5974,3.6263e-08
1.6973,3.9043e-08
1.797,4.1569e-08
1.897,4.4056e-08
1.9974,4.6324e-08
2.0975,4.8721e-08
2.1975,5.1205e-08
2.2976,5.3204e-08
2.3976,5.587e-08
2.4976,5.8105e-08
2.5975,6.1241e-08
2.6975,6.3833e-08
2.7978,6.5687e-08
2.8979,6.853e-08
2.9978,7.0224e-08
3.0977,7.4379e-08
3.198,7.6468e-08
3.298,7.9273e-08
3.3981,8.2935e-08
3.4979,8.3623e-08
3.5979,8.6805e-08
3.6985,8.932e-08
3.7981,9.1703e-08
3.8981,9.2684e-08
3.9982,9.524e-08
4.0984,9.7445e-08
4.1985,1.0234e-07
4.2985,1.0904e-07
4.3984,1.0672e-07
4.4985,1.1165e-07
4.5985,1.1426e-07
4.6984,1.1686e-07
4.7984,1.1924e-07
4.8986,1.2245e-07
4.9987,1.2568e-07
