Photodiode Current (A),Temperature (C)
-1.6822e-07,-272.4129074889868
-1.6411e-07,-272.4105286343612
-1.6439e-07,-272.4425991189427
-1.6784e-07,-272.4267400881057
-1.6719e-07,-272.4377092511013
-1.665e-07,-272.4188105726872
-1.6864e-07,-272.41718061674004
-1.6882e-07,-272.4133039647577
-1.705e-07,-272.43255506607926
-1.6537e-07,-272.4363436123348
-1.8932e-07,-272.41105726872246
-1.8187e-07,-272.41726872246693
-1.8243e-07,-272.41096916299557
-1.7665e-07,-272.4254625550661
-1.8093e-07,-272.40656387665194
-1.776e-07,-272.4240088105727
-1.7498e-07,-272.4352422907489
-1.7173e-07,-272.44740088105726
-1.7249e-07,-272.43162995594713
-1.6627e-07,-272.42999999999995
