Pixel 1,
V (V),J (A/cm^2)
-4.9959,-0.00010148
-4.8981,-7.4408e-05
-4.8,-5.433e-05
-4.7013,-3.9527e-05
-4.6024,-2.8701e-05
-4.5031,-2.0811e-05
-4.4033,-1.5068e-05
-4.3038,-1.0927e-05
-4.197,-7.7723e-06
-4.099,-5.6811e-06
-4.0007,-4.1561e-06
-3.9014,-3.0389e-06
-3.8023,-2.2282e-06
-3.703,-1.6376e-06
-3.6034,-1.2068e-06
-3.5038,-8.9282e-07
-3.4037,-6.6307e-07
-3.3038,-4.9556e-07
-3.2041,-3.7344e-07
-3.1043,-2.8386e-07
-3.0042,-2.1784e-07
-2.9042,-1.6945e-07
-2.8042,-1.3392e-07
-2.7041,-1.0761e-07
-2.6042,-8.7938e-08
-2.504,-7.3386e-08
-2.404,-6.2479e-08
-2.3042,-5.4061e-08
-2.2042,-4.7396e-08
-2.1041,-4.2231e-08
-2.0038,-3.7913e-08
-1.9039,-3.4208e-08
-1.8039,-3.0835e-08
-1.7042,-2.7931e-08
-1.6043,-2.5399e-08
-1.5039,-2.292e-08
-1.4039,-2.0679e-08
-1.3039,-1.8552e-08
-1.204,-1.6695e-08
-1.1037,-1.4801e-08
-1.0038,-1.2886e-08
-0.90381,-1.106e-08
-0.80389,-9.3782e-09
-0.70389,-7.5409e-09
-0.60345,-5.8698e-09
-0.5036,-4.2254e-09
-0.40364,-2.6629e-09
-0.30382,-9.3906e-10
-0.20377,5.7135e-10
-0.10353,2.1224e-09
-0.0034814,3.7057e-09
0.096403,5.2599e-09
0.19641,6.8001e-09
0.29662,8.2315e-09
0.39642,9.848e-09
0.49647,1.1376e-08
0.59641,1.2852e-08
0.69669,1.4408e-08
0.79673,1.5949e-08
0.89674,1.7488e-08
0.99669,1.8955e-08
1.0965,2.0576e-08
1.1968,2.1917e-08
1.2967,2.36e-08
1.3968,2.5115e-08
1.4967,2.663e-08
1.597,2.8213e-08
1.6969,2.9704e-08
1.7966,3.1452e-08
1.8966,3.2967e-08
1.997,3.4589e-08
2.0971,3.6256e-08
2.197,3.7959e-08
2.2972,3.9716e-08
2.3972,4.1091e-08
2.4971,4.2682e-08
2.5971,4.4442e-08
2.697,4.6028e-08
2.7974,4.7848e-08
2.8974,4.9737e-08
2.9974,5.1335e-08
3.0973,5.316e-08
3.1975,5.5067e-08
3.2975,5.6839e-08
3.3976,5.8632e-08
3.4975,6.0605e-08
3.5975,6.2354e-08
3.698,6.412e-08
3.7977,6.6012e-08
3.8977,6.8013e-08
3.9977,6.9795e-08
4.0979,7.1787e-08
4.1979,7.3828e-08
4.298,7.5771e-08
4.3979,7.8084e-08
4.4979,7.9985e-08
4.598,8.2231e-08
4.6978,8.4192e-08
4.7979,8.6088e-08
4.8981,8.8232e-08
4.9981,9.0411e-08
