Photodiode Current (A),Temperature (C)
-7.415e-08,-272.78507048458147
-7.5532e-08,-272.7965991189427
-7.8086e-08,-272.78230396475766
-7.4841e-08,-272.78949779735683
-7.7584e-08,-272.80010572687223
-7.7416e-08,-272.7985374449339
-8.1792e-08,-272.79964317180617
-7.1449e-08,-272.81089427312776
-8.1457e-08,-272.7976167400881
-7.907e-08,-272.81228193832595
-1.0208e-07,-272.8054537444934
-9.1841e-08,-272.82491629955945
-8.78e-08,-272.8387488986784
-8.8073e-08,-272.80951101321585
-8.5665e-08,-272.8365374449339
-8.4597e-08,-272.82344052863436
-7.9803e-08,-272.8374581497797
-7.8924e-08,-272.82915859030834
-7.9677e-08,-272.82998678414094
-7.6432e-08,-272.8388414096916
