Pixel 1,
V (V),J (A/cm^2)
-5.0016,-0.00035064
-4.9022,-0.00026445
-4.8029,-0.00019804
-4.7034,-0.00014734
-4.5953,-0.00010623
-4.4978,-7.8874e-05
-4.3994,-5.8281e-05
-4.3009,-4.3004e-05
-4.2019,-3.167e-05
-4.1025,-2.3294e-05
-4.0032,-1.7144e-05
-3.9033,-1.2605e-05
-3.7955,-9.0657e-06
-3.6979,-6.7301e-06
-3.5996,-4.9943e-06
-3.5009,-3.7078e-06
-3.4015,-2.7521e-06
-3.3022,-2.0474e-06
-3.2028,-1.5266e-06
-3.1034,-1.1414e-06
-3.0035,-8.5461e-07
-2.9036,-6.4231e-07
-2.8038,-4.8529e-07
-2.7038,-3.6858e-07
-2.604,-2.8202e-07
-2.5038,-2.1749e-07
-2.4039,-1.6945e-07
-2.3041,-1.3371e-07
-2.2041,-1.069e-07
-2.104,-8.678e-08
-2.0037,-7.1498e-08
-1.9038,-5.9939e-08
-1.8039,-5.0821e-08
-1.7041,-4.4019e-08
-1.6042,-3.8353e-08
-1.5038,-3.3586e-08
-1.4038,-2.9774e-08
-1.3038,-2.6408e-08
-1.2039,-2.3446e-08
-1.1037,-2.0782e-08
-1.0037,-1.8423e-08
-0.90373,-1.6082e-08
-0.80378,-1.38e-08
-0.70378,-1.1696e-08
-0.60332,-9.7776e-09
-0.50346,-7.784e-09
-0.40352,-5.9622e-09
-0.30365,-4.0838e-09
-0.20366,-2.1804e-09
-0.10338,-3.105e-10
-0.0033259,1.3451e-09
0.096556,3.3136e-09
0.19656,4.9511e-09
0.29678,6.7432e-09
0.39662,8.4612e-09
0.49664,1.018e-08
0.59658,1.2147e-08
0.69684,1.3777e-08
0.79694,1.5574e-08
0.89692,1.7228e-08
0.99686,1.9005e-08
1.0967,2.0871e-08
1.197,2.265e-08
1.2969,2.4415e-08
1.3969,2.6179e-08
1.4969,2.7925e-08
1.5973,2.9961e-08
1.6971,3.1737e-08
1.7969,3.3585e-08
1.8969,3.5354e-08
1.9972,3.7289e-08
2.0973,3.9244e-08
2.1973,4.0914e-08
2.2974,4.2919e-08
2.3974,4.5009e-08
2.4974,4.6866e-08
2.5974,4.8771e-08
2.6973,5.0657e-08
2.7976,5.2805e-08
2.8977,5.461e-08
2.9977,5.667e-08
3.0975,5.869e-08
3.1977,6.0604e-08
3.2978,6.2698e-08
3.3978,6.4634e-08
3.4977,6.6786e-08
3.5977,6.8866e-08
3.6983,7.1128e-08
3.7979,7.2988e-08
3.8979,7.5205e-08
3.9979,7.7381e-08
4.0981,7.9489e-08
4.1982,8.1738e-08
4.2983,8.3906e-08
4.3981,8.6265e-08
4.4982,8.8432e-08
4.5982,9.0721e-08
4.6981,9.2905e-08
4.7981,9.5058e-08
4.8984,9.7316e-08
4.9984,9.9652e-08
