Photodiode Current (A),Temperature (C)
-9.5945e-08,-272.71525110132154
-9.3454e-08,-272.71838766519824
-9.6427e-08,-272.7343436123348
-9.5171e-08,-272.7253039647577
-9.651e-08,-272.6976211453744
-1.0124e-07,-272.72613656387665
-9.8081e-08,-272.73701762114536
-8.9183e-08,-272.7234625550661
-9.1549e-08,-272.7275198237885
-9.4898e-08,-272.6912775330396
-1.2649e-07,-272.69303964757705
-1.1713e-07,-272.7094273127753
-1.1659e-07,-272.6886784140969
-1.1303e-07,-272.70427312775325
-1.1127e-07,-272.698281938326
-1.1236e-07,-272.68396475770925
-1.132e-07,-272.6903524229075
-1.0733e-07,-272.7246607929515
-1.0566e-07,-272.7099030837004
-1.0702e-07,-272.6999559471365
