"","Channel 3 Last (C)","Channel 3 Ave. (C)","Channel 3 Min. (C)","Channel 3 Max. (C)","Channel 7 Last (C)","Channel 7 Ave. (C)","Channel 7 Min. (C)","Channel 7 Max. (C)"
"00:00:00","24.130","24.130","24.130","24.130","24.059","24.059","24.059","24.059"
"00:00:01","24.221","24.221","24.221","24.221","24.054","24.054","24.054","24.054"
"00:00:02","24.309","24.309","24.309","24.309","24.067","24.067","24.067","24.067"
"00:00:03","24.425","24.425","24.425","24.425","24.074","24.074","24.074","24.074"
"00:00:04","24.555","24.555","24.555","24.555","24.083","24.083","24.083","24.083"
"00:00:05","24.616","24.616","24.616","24.616","24.090","24.090","24.090","24.090"
"00:00:06","24.642","24.642","24.642","24.642","24.107","24.107","24.107","24.107"
"00:00:07","24.677","24.677","24.677","24.677","24.119","24.119","24.119","24.119"
"00:00:08","24.734","24.734","24.734","24.734","24.134","24.134","24.134","24.134"
"00:00:09","24.784","24.784","24.784","24.784","24.150","24.150","24.150","24.150"
"00:00:10","24.824","24.824","24.824","24.824","24.173","24.173","24.173","24.173"
"00:00:11","24.856","24.856","24.856","24.856","24.191","24.191","24.191","24.191"
"00:00:12","24.880","24.880","24.880","24.880","24.208","24.208","24.208","24.208"
"00:00:13","24.913","24.913","24.913","24.913","24.234","24.234","24.234","24.234"
"00:00:14","24.960","24.960","24.960","24.960","24.255","24.255","24.255","24.255"
"00:00:15","24.996","24.996","24.996","24.996","24.275","24.275","24.275","24.275"
"00:00:16","25.015","25.015","25.015","25.015","24.296","24.296","24.296","24.296"
"00:00:17","25.062","25.062","25.062","25.062","24.324","24.324","24.324","24.324"
"00:00:18","25.115","25.115","25.115","25.115","24.351","24.351","24.351","24.351"
"00:00:19","25.174","25.174","25.174","25.174","24.387","24.387","24.387","24.387"
"00:00:20","25.226","25.226","25.226","25.226","24.414","24.414","24.414","24.414"
"00:00:21","25.253","25.253","25.253","25.253","24.436","24.436","24.436","24.436"
"00:00:22","25.296","25.296","25.296","25.296","24.473","24.473","24.473","24.473"
"00:00:23","25.318","25.318","25.318","25.318","24.502","24.502","24.502","24.502"
"00:00:24","25.346","25.346","25.346","25.346","24.540","24.540","24.540","24.540"
"00:00:25","25.426","25.426","25.426","25.426","24.577","24.577","24.577","24.577"
"00:00:26","25.480","25.480","25.480","25.480","24.617","24.617","24.617","24.617"
"00:00:27","25.495","25.495","25.495","25.495","24.648","24.648","24.648","24.648"
"00:00:28","25.497","25.497","25.497","25.497","24.681","24.681","24.681","24.681"
"00:00:29","25.504","25.504","25.504","25.504","24.722","24.722","24.722","24.722"
"00:00:30","25.514","25.514","25.514","25.514","24.755","24.755","24.755","24.755"
"00:00:31","25.533","25.533","25.533","25.533","24.793","24.793","24.793","24.793"
"00:00:32","25.528","25.528","25.528","25.528","24.838","24.838","24.838","24.838"
"00:00:33","25.497","25.497","25.497","25.497","24.868","24.868","24.868","24.868"
"00:00:34","25.509","25.509","25.509","25.509","24.908","24.908","24.908","24.908"
"00:00:35","25.534","25.534","25.534","25.534","24.951","24.951","24.951","24.951"
"00:00:36","25.550","25.550","25.550","25.550","24.978","24.978","24.978","24.978"
"00:00:37","25.562","25.562","25.562","25.562","25.016","25.016","25.016","25.016"
"00:00:38","25.574","25.574","25.574","25.574","25.055","25.055","25.055","25.055"
"00:00:39","25.595","25.595","25.595","25.595","25.091","25.091","25.091","25.091"
"00:00:40","25.635","25.635","25.635","25.635","25.134","25.134","25.134","25.134"
"00:00:41","25.683","25.683","25.683","25.683","25.174","25.174","25.174","25.174"
"00:00:42","25.715","25.715","25.715","25.715","25.208","25.208","25.208","25.208"
"00:00:43","25.735","25.735","25.735","25.735","25.252","25.252","25.252","25.252"
"00:00:44","25.746","25.746","25.746","25.746","25.290","25.290","25.290","25.290"
"00:00:45","25.772","25.772","25.772","25.772","25.334","25.334","25.334","25.334"
"00:00:46","25.805","25.805","25.805","25.805","25.370","25.370","25.370","25.370"
"00:00:47","25.854","25.854","25.854","25.854","25.417","25.417","25.417","25.417"
"00:00:48","25.898","25.898","25.898","25.898","25.450","25.450","25.450","25.450"
"00:00:49","25.940","25.940","25.940","25.940","25.490","25.490","25.490","25.490"
"00:00:50","25.970","25.970","25.970","25.970","25.532","25.532","25.532","25.532"
"00:00:51","25.981","25.981","25.981","25.981","25.562","25.562","25.562","25.562"
"00:00:52","26.008","26.008","26.008","26.008","25.598","25.598","25.598","25.598"
"00:00:53","26.047","26.047","26.047","26.047","25.640","25.640","25.640","25.640"
"00:00:54","26.094","26.094","26.094","26.094","25.678","25.678","25.678","25.678"
"00:00:55","26.138","26.138","26.138","26.138","25.720","25.720","25.720","25.720"
"00:00:56","26.185","26.185","26.185","26.185","25.765","25.765","25.765","25.765"
"00:00:57","26.208","26.208","26.208","26.208","25.796","25.796","25.796","25.796"
"00:00:58","26.237","26.237","26.237","26.237","25.835","25.835","25.835","25.835"
"00:00:59","26.252","26.252","26.252","26.252","25.875","25.875","25.875","25.875"
"00:01:00","26.272","26.272","26.272","26.272","25.906","25.906","25.906","25.906"
"00:01:01","26.296","26.296","26.296","26.296","25.944","25.944","25.944","25.944"
"00:01:02","26.328","26.328","26.328","26.328","25.986","25.986","25.986","25.986"
"00:01:03","26.357","26.357","26.357","26.357","26.025","26.025","26.025","26.025"
"00:01:04","26.385","26.385","26.385","26.385","26.065","26.065","26.065","26.065"
"00:01:05","26.426","26.426","26.426","26.426","26.105","26.105","26.105","26.105"
"00:01:06","26.454","26.454","26.454","26.454","26.134","26.134","26.134","26.134"
"00:01:07","26.495","26.495","26.495","26.495","26.175","26.175","26.175","26.175"
"00:01:08","26.538","26.538","26.538","26.538","26.211","26.211","26.211","26.211"
"00:01:09","26.586","26.586","26.586","26.586","26.245","26.245","26.245","26.245"
"00:01:10","26.630","26.630","26.630","26.630","26.286","26.286","26.286","26.286"
"00:01:11","26.675","26.675","26.675","26.675","26.324","26.324","26.324","26.324"
"00:01:12","26.706","26.706","26.706","26.706","26.358","26.358","26.358","26.358"
"00:01:13","26.749","26.749","26.749","26.749","26.390","26.390","26.390","26.390"
"00:01:14","26.788","26.788","26.788","26.788","26.428","26.428","26.428","26.428"
"00:01:15","26.831","26.831","26.831","26.831","26.459","26.459","26.459","26.459"
"00:01:16","26.874","26.874","26.874","26.874","26.493","26.493","26.493","26.493"
"00:01:17","26.919","26.919","26.919","26.919","26.536","26.536","26.536","26.536"
"00:01:18","26.963","26.963","26.963","26.963","26.567","26.567","26.567","26.567"
"00:01:19","26.994","26.994","26.994","26.994","26.604","26.604","26.604","26.604"
"00:01:20","27.019","27.019","27.019","27.019","26.642","26.642","26.642","26.642"
"00:01:21","27.025","27.025","27.025","27.025","26.674","26.674","26.674","26.674"
"00:01:22","27.041","27.041","27.041","27.041","26.708","26.708","26.708","26.708"
"00:01:23","27.049","27.049","27.049","27.049","26.748","26.748","26.748","26.748"
"00:01:24","27.069","27.069","27.069","27.069","26.769","26.769","26.769","26.769"
