Pixel 1,
V (V),J (A/cm^2)
-4.9991,-6.9049e-05
-4.9018,-3.715e-05
-4.8034,-1.9173e-05
-4.7042,-9.5065e-06
-4.6014,-3.7633e-06
-4.5041,-1.1787e-06
-4.4052,2.8486e-07
-4.3059,8.919e-07
-4.206,1.0614e-06
-4.106,1.1727e-06
-4.0062,1.1812e-06
-3.9059,1.1897e-06
-3.8059,1.2418e-06
-3.706,1.2125e-06
-3.606,1.2449e-06
-3.506,1.2796e-06
-3.4058,1.2592e-06
-3.3057,1.2915e-06
-3.2058,1.3257e-06
-3.106,1.3023e-06
-3.0058,1.3355e-06
-2.9058,1.3699e-06
-2.8057,1.3882e-06
-2.7057,1.379e-06
-2.6058,1.4386e-06
-2.5055,1.4497e-06
-2.4057,1.4889e-06
-2.3059,1.6108e-06
-2.2059,1.6514e-06
-2.1058,1.6199e-06
-2.0055,1.6751e-06
-1.9056,1.6674e-06
-1.8057,1.6731e-06
-1.706,1.7364e-06
-1.606,1.7096e-06
-1.5056,1.709e-06
-1.4057,1.775e-06
-1.3055,1.6327e-06
-1.2057,1.703e-06
-1.1054,1.7382e-06
-1.0056,1.7222e-06
-0.90548,1.7412e-06
-0.80561,1.8529e-06
-0.70554,1.8231e-06
-0.60526,1.8812e-06
-0.50538,1.9248e-06
-0.40541,1.8965e-06
-0.30562,1.9408e-06
-0.20561,2.0391e-06
-0.10533,1.9056e-06
-0.0053412,2.0449e-06
0.094576,2.0295e-06
0.19457,1.9484e-06
0.29478,2.0105e-06
0.39452,2.1084e-06
0.49452,2.1271e-06
0.59445,2.1149e-06
0.69478,2.1264e-06
0.79479,2.1386e-06
0.89481,2.1879e-06
0.99473,2.1898e-06
1.0945,2.2086e-06
1.1947,2.2612e-06
1.2947,2.2539e-06
1.3947,2.3083e-06
1.4946,2.3693e-06
1.595,2.3597e-06
1.6948,2.3894e-06
1.7944,2.4858e-06
1.8945,2.5068e-06
1.9949,2.3562e-06
2.0948,2.6671e-06
2.1948,2.576e-06
2.2949,2.5428e-06
2.3948,2.8622e-06
2.4946,2.904e-06
2.5945,3.0097e-06
2.6942,3.0653e-06
2.7944,3.186e-06
2.8945,3.3923e-06
2.9943,3.4981e-06
3.0943,3.569e-06
3.194,3.9329e-06
3.294,3.8446e-06
3.3942,3.9113e-06
3.4939,3.9844e-06
3.5939,4.0832e-06
3.6945,4.033e-06
3.7941,4.1386e-06
3.894,4.103e-06
3.994,4.1534e-06
4.0942,4.2419e-06
4.1942,4.2518e-06
4.2943,4.2464e-06
4.3942,4.1039e-06
4.494,4.3967e-06
4.5944,4.1807e-06
4.6941,4.2912e-06
4.794,4.4338e-06
4.8943,4.4713e-06
4.9946,4.3302e-06
