Photodiode Current (A),Temperature (C)
-1.7797e-07,-272.3514977973568
-1.8319e-07,-272.3543612334802
-1.8568e-07,-272.3460352422907
-1.8291e-07,-272.33555066079293
-1.8189e-07,-272.34044052863436
-1.7841e-07,-272.3578414096916
-1.816e-07,-272.3292511013216
-1.7686e-07,-272.3395154185022
-1.786e-07,-272.3447577092511
-1.8067e-07,-272.33471365638763
-2.2621e-07,-272.31220264317176
-2.1296e-07,-272.32568281938325
-2.0075e-07,-272.31422907488985
-2.0517e-07,-272.31202643171804
-1.9541e-07,-272.3304845814978
-2.117e-07,-272.3121145374449
-2.0823e-07,-272.31665198237886
-2.0607e-07,-272.3477092511013
-2.1534e-07,-272.3689427312775
-1.8982e-07,-272.36255506607927
