Pixel 1,
V (V),J (A/cm^2)
-5.0034,-1.0921e-06
-4.9044,2.1307e-07
-4.805,6.5632e-07
-4.7051,8.9007e-07
-4.6053,9.3321e-07
-4.5053,9.6936e-07
-4.405,9.6758e-07
-4.3051,1.0283e-06
-4.2051,1.021e-06
-4.105,1.0149e-06
-4.0052,1.0517e-06
-3.9048,1.0706e-06
-3.8049,1.0804e-06
-3.7051,1.1036e-06
-3.605,1.1018e-06
-3.5051,1.1105e-06
-3.4048,1.1191e-06
-3.3047,1.1463e-06
-3.2049,1.1787e-06
-3.1051,1.1635e-06
-3.0048,1.1789e-06
-2.9048,1.2093e-06
-2.8048,1.1741e-06
-2.7047,1.2235e-06
-2.6048,1.233e-06
-2.5046,1.2485e-06
-2.4046,1.2418e-06
-2.3047,1.2276e-06
-2.2048,1.2568e-06
-2.1047,1.2754e-06
-2.0044,1.2527e-06
-1.9045,1.2768e-06
-1.8045,1.3014e-06
-1.7048,1.2772e-06
-1.6049,1.3191e-06
-1.5045,1.3229e-06
-1.4045,1.3345e-06
-1.3045,1.3278e-06
-1.2046,1.3662e-06
-1.1044,1.3572e-06
-1.0045,1.3869e-06
-0.90441,1.3505e-06
-0.80446,1.374e-06
-0.70447,1.3899e-06
-0.60405,1.4154e-06
-0.50419,1.4242e-06
-0.40444,1.5521e-06
-0.30452,1.6384e-06
-0.20459,1.6086e-06
-0.10434,1.6092e-06
-0.0043662,1.6687e-06
0.095533,1.5772e-06
0.19561,1.6008e-06
0.29581,1.6111e-06
0.39555,1.712e-06
0.4956,1.7224e-06
0.59547,1.7773e-06
0.69562,1.8832e-06
0.79575,1.923e-06
0.89567,1.8945e-06
0.9956,1.971e-06
1.0957,1.6825e-06
1.1959,1.7133e-06
1.2958,1.7806e-06
1.3958,1.7848e-06
1.4957,1.8304e-06
1.5961,1.8508e-06
1.6959,1.8634e-06
1.7955,1.9763e-06
1.8956,1.9761e-06
1.9958,2.0941e-06
2.0958,2.1263e-06
2.1958,2.2115e-06
2.295,2.9631e-06
2.3945,3.665e-06
2.4932,4.4555e-06
2.5934,4.2459e-06
2.6933,4.2123e-06
2.7936,4.187e-06
2.8932,5.0472e-06
2.9935,4.6038e-06
3.0945,3.6649e-06
3.1928,5.6025e-06
3.2926,5.8656e-06
3.3924,6.2181e-06
3.4924,5.3836e-06
3.5924,5.64e-06
3.6926,6.2951e-06
3.7922,6.3034e-06
3.8923,6.4857e-06
3.9924,6.329e-06
4.0922,6.4732e-06
4.1924,6.5147e-06
4.2924,6.5617e-06
4.3922,6.5217e-06
4.4923,6.5996e-06
4.5923,6.6457e-06
4.6922,6.7197e-06
4.7922,6.555e-06
4.8923,6.6894e-06
4.9921,6.9166e-06
