Pixel 1,
V (V),J (A/cm^2)
-5.0011,-0.00033739
-4.9022,-0.0002069
-4.8031,-0.00011932
-4.6983,-6.4124e-05
-4.6012,-3.4413e-05
-4.5027,-1.8085e-05
-4.4033,-8.3008e-06
-4.3009,-3.1152e-06
-4.2034,-7.3884e-07
-4.1045,4.8818e-07
-4.0052,1.0006e-06
-3.905,1.2315e-06
-3.8051,1.2765e-06
-3.7052,1.2911e-06
-3.6052,1.3189e-06
-3.5053,1.3737e-06
-3.405,1.3408e-06
-3.305,1.3573e-06
-3.2051,1.4061e-06
-3.1053,1.3765e-06
-3.0051,1.413e-06
-2.9051,1.4026e-06
-2.805,1.415e-06
-2.705,1.4671e-06
-2.6051,1.4517e-06
-2.5049,1.5068e-06
-2.4049,1.4587e-06
-2.305,1.4846e-06
-2.2051,1.519e-06
-2.1049,1.4879e-06
-2.0047,1.5161e-06
-1.9048,1.5545e-06
-1.8048,1.568e-06
-1.7051,1.5293e-06
-1.6051,1.575e-06
-1.5048,1.5931e-06
-1.4047,1.5667e-06
-1.3048,1.5948e-06
-1.2049,1.5879e-06
-1.1046,1.5964e-06
-1.0048,1.6015e-06
-0.90467,1.6479e-06
-0.80476,1.6526e-06
-0.7048,1.6493e-06
-0.60431,1.6578e-06
-0.50448,1.6589e-06
-0.40454,1.696e-06
-0.30467,1.6968e-06
-0.20471,1.731e-06
-0.10448,1.7445e-06
-0.0044333,1.7256e-06
0.095458,1.7483e-06
0.1954,1.7955e-06
0.29565,1.7585e-06
0.39545,1.7754e-06
0.49548,1.8231e-06
0.5954,1.8412e-06
0.69558,1.8678e-06
0.79565,1.882e-06
0.8957,1.8788e-06
0.99559,1.9233e-06
1.0954,1.9409e-06
1.1956,1.947e-06
1.2956,1.9873e-06
1.3956,1.973e-06
1.4955,2.0183e-06
1.5959,2.0655e-06
1.6957,2.0587e-06
1.7954,2.0851e-06
1.8954,2.1494e-06
1.9957,2.1557e-06
2.0957,2.2403e-06
2.1957,2.232e-06
2.2958,2.3178e-06
2.3958,2.2793e-06
2.4957,2.332e-06
2.5956,2.4246e-06
2.6955,2.4249e-06
2.7958,2.4958e-06
2.8958,2.5998e-06
2.9957,2.6284e-06
3.0954,2.7687e-06
3.1955,2.8681e-06
3.2955,2.9114e-06
3.3954,3.0779e-06
3.4953,3.0899e-06
3.5951,3.2276e-06
3.6956,3.3666e-06
3.7952,3.4443e-06
3.8949,3.6999e-06
3.9948,3.8328e-06
4.0949,3.9339e-06
4.1948,4.1716e-06
4.2946,4.3794e-06
4.3943,4.4729e-06
4.4941,4.7095e-06
4.5939,5.214e-06
4.6935,5.2933e-06
4.7933,5.5601e-06
4.8932,5.9405e-06
4.9931,5.9349e-06
