Photodiode Current (A),Temperature (C)
2.0357e-06,-264.1790748898678
1.9823e-06,-264.3883259911894
2.035e-06,-264.2270925110132
1.9881e-06,-264.3522026431718
2.0413e-06,-264.28215859030837
2.0073e-06,-264.28656387665194
2.0392e-06,-264.33546255506604
1.994e-06,-264.2337004405286
2.0095e-06,-264.3667400881057
2.0074e-06,-264.20682819383256
2.1184e-06,-263.5583700440528
2.028e-06,-263.4006607929515
2.1375e-06,-263.44559471365636
2.085e-06,-263.59449339207043
2.071e-06,-263.7918502202643
2.0193e-06,-263.88656387665196
2.0607e-06,-263.90594713656384
2.1662e-06,-263.7121145374449
2.1684e-06,-263.51872246696036
2.1026e-06,-263.3900881057269
