Pixel 1,
V (V),J (A/cm^2)
-5.0037,-5.2991e-05
-4.9048,-3.8251e-05
-4.8058,-2.7566e-05
-4.7065,-1.9826e-05
-4.6071,-1.4257e-05
-4.4985,-9.9756e-06
-4.4009,-7.2306e-06
-4.303,-5.2433e-06
-4.2044,-3.801e-06
-4.1053,-2.7585e-06
-4.0062,-2.0069e-06
-3.9065,-1.4623e-06
-3.8069,-1.0709e-06
-3.7073,-7.8816e-07
-3.6075,-5.8324e-07
-3.5076,-4.3526e-07
-3.4074,-3.2749e-07
-3.3075,-2.4956e-07
-3.2076,-1.9272e-07
-3.1079,-1.5137e-07
-3.0077,-1.2101e-07
-2.9077,-9.8534e-08
-2.8077,-8.1901e-08
-2.7076,-6.9627e-08
-2.6077,-6.0224e-08
-2.5075,-5.3119e-08
-2.4075,-4.7369e-08
-2.3076,-4.2714e-08
-2.2077,-3.8766e-08
-2.1075,-3.5609e-08
-2.0073,-3.2558e-08
-1.9073,-2.9988e-08
-1.8074,-2.7527e-08
-1.7077,-2.5274e-08
-1.6077,-2.3319e-08
-1.5073,-2.1356e-08
-1.4074,-1.9544e-08
-1.3074,-1.7817e-08
-1.2074,-1.6106e-08
-1.1072,-1.4384e-08
-1.0073,-1.2818e-08
-0.90723,-1.1194e-08
-0.80726,-9.7209e-09
-0.70729,-8.0747e-09
-0.60686,-6.5512e-09
-0.50696,-5.0151e-09
-0.40705,-3.6109e-09
-0.30722,-2.0272e-09
-0.20721,-4.8445e-10
-0.1069,1.0343e-09
-0.0068757,2.4959e-09
0.092973,4.0278e-09
0.19295,5.4765e-09
0.29321,7.075e-09
0.393,8.4694e-09
0.49302,1.0024e-08
0.59301,1.1521e-08
0.69323,1.3057e-08
0.79333,1.4645e-08
0.89334,1.6041e-08
0.99325,1.7662e-08
1.0931,1.9275e-08
1.1933,2.0685e-08
1.2933,2.2326e-08
1.3933,2.3829e-08
1.4932,2.5265e-08
1.5936,2.6963e-08
1.6934,2.8615e-08
1.7932,3.0081e-08
1.8932,3.1751e-08
1.9936,3.3246e-08
2.0936,3.4907e-08
2.1936,3.6589e-08
2.2938,3.836e-08
2.3938,3.9892e-08
2.4937,4.1788e-08
2.5937,4.3221e-08
2.6936,4.5069e-08
2.7939,4.6794e-08
2.894,4.8571e-08
2.994,5.037e-08
3.0938,5.2124e-08
3.1941,5.4009e-08
3.2941,5.569e-08
3.3941,5.7479e-08
3.494,5.9213e-08
3.594,6.1186e-08
3.6946,6.3377e-08
3.7942,6.473e-08
3.8942,6.6998e-08
3.9943,6.8747e-08
4.0944,7.0842e-08
4.1945,7.2443e-08
4.2946,7.4512e-08
4.3944,7.6785e-08
4.4945,7.8437e-08
4.5946,8.044e-08
4.6944,8.2647e-08
4.7944,8.4371e-08
4.8947,8.6501e-08
4.9947,8.845e-08
