Pixel 1,
V (V),J (A/cm^2)
-5.0001,-5.8983e-05
-4.9022,-3.2741e-05
-4.8037,-1.7495e-05
-4.7045,-8.5165e-06
-4.6015,-3.8722e-06
-4.5039,-1.4696e-06
-4.4048,-2.4411e-07
-4.3054,2.38e-07
-4.2056,4.7442e-07
-4.1056,5.4889e-07
-4.0057,5.622e-07
-3.9054,6.0273e-07
-3.8055,6.1222e-07
-3.7056,6.0458e-07
-3.6056,6.2679e-07
-3.5056,6.2657e-07
-3.4053,6.3345e-07
-3.3053,6.6884e-07
-3.2054,6.6263e-07
-3.1056,6.5059e-07
-3.0054,6.5603e-07
-2.9053,6.7845e-07
-2.8053,6.9541e-07
-2.7052,7.0638e-07
-2.6053,6.882e-07
-2.5051,6.8849e-07
-2.4051,6.953e-07
-2.3052,7.0934e-07
-2.2053,7.1007e-07
-2.1051,7.4212e-07
-2.0048,7.4275e-07
-1.905,7.3154e-07
-1.805,7.6564e-07
-1.7053,7.4904e-07
-1.6053,7.488e-07
-1.5049,7.6163e-07
-1.405,7.9332e-07
-1.305,8.0021e-07
-1.205,7.8307e-07
-1.1048,7.9035e-07
-1.0049,7.9455e-07
-0.90484,8.2213e-07
-0.80492,8.1212e-07
-0.70494,8.5022e-07
-0.60451,8.5491e-07
-0.50464,8.367e-07
-0.40473,8.6169e-07
-0.30489,8.6969e-07
-0.20484,8.8529e-07
-0.1046,8.8468e-07
-0.0045694,9.0679e-07
0.095292,9.2274e-07
0.19529,9.1625e-07
0.29553,9.2815e-07
0.3953,9.3177e-07
0.49532,9.6708e-07
0.59526,9.5198e-07
0.69552,9.9044e-07
0.79557,9.6868e-07
0.8956,1.0125e-06
0.99556,1.006e-06
1.0953,1.0304e-06
1.1955,1.0293e-06
1.2955,1.0401e-06
1.3956,1.0869e-06
1.4955,1.0982e-06
1.5958,1.0905e-06
1.6956,1.1398e-06
1.7954,1.1464e-06
1.8953,1.159e-06
1.9957,1.1897e-06
2.0957,1.2162e-06
2.1957,1.257e-06
2.2958,1.2563e-06
2.3958,1.2973e-06
2.4957,1.3562e-06
2.5957,1.4002e-06
2.6955,1.4066e-06
2.7958,1.4968e-06
2.8958,1.5422e-06
2.9958,1.5905e-06
3.0955,1.6847e-06
3.1957,1.7531e-06
3.2957,1.8224e-06
3.3957,1.8972e-06
3.4954,1.9927e-06
3.5953,2.147e-06
3.6958,2.2499e-06
3.7952,2.4147e-06
3.8951,2.6076e-06
3.995,2.7101e-06
4.095,2.931e-06
4.1948,3.0898e-06
4.2949,3.1155e-06
4.3947,3.2493e-06
4.4947,3.3138e-06
4.5946,3.3615e-06
4.6944,3.3992e-06
4.7945,3.3817e-06
4.8948,3.4e-06
4.9947,3.4741e-06
