Photodiode Current (A),Temperature (C)
7.7569e-07,-269.67876651982374
7.8787e-07,-269.7601762114537
7.7081e-07,-269.69370044052863
7.8831e-07,-269.7088105726872
7.8067e-07,-269.72669603524224
7.8115e-07,-269.6733039647577
7.8192e-07,-269.75290748898675
7.752e-07,-269.67017621145374
7.9275e-07,-269.69616740088105
7.7054e-07,-269.6803964757709
7.7579e-07,-269.51475770925106
8.0051e-07,-269.6544052863436
7.8636e-07,-269.5436563876652
8.132e-07,-269.6441850220264
7.8663e-07,-269.53154185022026
8.1197e-07,-269.5914977973568
7.8366e-07,-269.57378854625546
8.1178e-07,-269.5445814977973
7.9432e-07,-269.6295154185022
8.0828e-07,-269.5206607929515
