Pixel 1,
V (V),J (A/cm^2)
-4.997,-8.3509e-05
-4.9004,-4.3772e-05
-4.8024,-2.1967e-05
-4.7034,-1.0095e-05
-4.601,-3.3281e-06
-4.504,-4.8913e-07
-4.4051,9.3141e-07
-4.3056,1.3954e-06
-4.2058,1.5213e-06
-4.1058,1.6274e-06
-4.0059,1.6106e-06
-3.9056,1.6805e-06
-3.8057,1.7043e-06
-3.7058,1.6822e-06
-3.6058,1.7033e-06
-3.5058,1.7597e-06
-3.4055,1.7357e-06
-3.3056,1.7635e-06
-3.2056,1.8061e-06
-3.1059,1.7575e-06
-3.0057,1.8172e-06
-2.9056,1.807e-06
-2.8056,1.8458e-06
-2.7055,1.8688e-06
-2.6056,1.8292e-06
-2.5054,1.8816e-06
-2.4054,1.8571e-06
-2.3056,1.8727e-06
-2.2057,1.9297e-06
-2.1055,1.9036e-06
-2.0053,1.9734e-06
-1.9053,1.9327e-06
-1.8054,1.9965e-06
-1.7057,1.9635e-06
-1.6057,2.0075e-06
-1.5053,1.9852e-06
-1.4054,1.9967e-06
-1.3054,2.0082e-06
-1.2055,2.0684e-06
-1.1052,2.0453e-06
-1.0054,2.0405e-06
-0.90532,2.0489e-06
-0.80532,2.0714e-06
-0.70539,2.099e-06
-0.60496,2.1413e-06
-0.5051,2.1553e-06
-0.40517,2.1318e-06
-0.30539,2.1635e-06
-0.20535,2.189e-06
-0.10507,2.1606e-06
-0.0050654,2.2039e-06
0.094832,2.2027e-06
0.19482,2.1693e-06
0.29501,2.2148e-06
0.39482,2.2499e-06
0.49483,2.2557e-06
0.59481,2.2259e-06
0.69504,2.243e-06
0.79509,2.3127e-06
0.89511,2.3352e-06
0.99503,2.3304e-06
1.0948,2.3185e-06
1.195,2.4585e-06
1.2949,2.3841e-06
1.3949,2.5172e-06
1.4934,3.097e-06
1.5938,2.7043e-06
1.6936,2.7299e-06
1.793,2.8812e-06
1.8929,4.408e-06
1.9935,3.4924e-06
2.0939,4.3806e-06
2.1925,5.2018e-06
2.2931,5.4594e-06
2.3925,5.6388e-06
2.4919,5.9928e-06
2.5919,5.9454e-06
2.6928,6.8715e-06
2.7908,7.2257e-06
2.8905,7.6637e-06
2.9901,8.0348e-06
3.0919,5.4678e-06
3.1896,8.5812e-06
3.2892,9.042e-06
3.389,9.2578e-06
3.4887,9.4609e-06
3.5889,9.651e-06
3.6888,9.9146e-06
3.7886,9.8698e-06
3.8883,9.9412e-06
3.9884,1.0094e-05
4.0887,9.9946e-06
4.1886,1.0056e-05
4.2887,1.0164e-05
4.3885,1.0117e-05
4.4884,1.0245e-05
4.5884,1.0368e-05
4.6887,1.0453e-05
4.7882,9.5565e-06
4.8885,1.0431e-05
4.9884,1.0492e-05
