Photodiode Current (A),Temperature (C)
2.0848e-06,-263.99449339207047
2.1197e-06,-263.71740088105724
2.1144e-06,-263.94251101321584
2.098e-06,-263.80374449339206
2.128e-06,-263.8896475770925
2.0829e-06,-263.819603524229
2.116e-06,-263.7966960352423
2.0648e-06,-263.77643171806164
2.1289e-06,-263.65881057268723
2.0715e-06,-263.87158590308366
2.0502e-06,-264.02841409691626
2.1004e-06,-263.8279735682819
2.077e-06,-264.05484581497797
2.1026e-06,-263.8319383259912
2.0873e-06,-264.1099118942731
2.0935e-06,-263.8544052863436
2.1076e-06,-264.0530837004405
2.0819e-06,-263.9416299559471
2.1295e-06,-263.9984581497797
2.0837e-06,-263.94603524229075
