"","Channel 3 Last (C)","Channel 3 Ave. (C)","Channel 3 Min. (C)","Channel 3 Max. (C)","Channel 7 Last (C)","Channel 7 Ave. (C)","Channel 7 Min. (C)","Channel 7 Max. (C)"
"00:00:00","59.691","59.691","59.691","59.691","48.304","48.304","48.304","48.304"
"00:00:01","59.700","59.700","59.700","59.700","48.300","48.300","48.300","48.300"
"00:00:02","59.702","59.702","59.702","59.702","48.294","48.294","48.294","48.294"
"00:00:03","59.705","59.705","59.705","59.705","48.287","48.287","48.287","48.287"
"00:00:04","59.714","59.714","59.714","59.714","48.289","48.289","48.289","48.289"
"00:00:05","59.714","59.714","59.714","59.714","48.290","48.290","48.290","48.290"
"00:00:06","59.721","59.721","59.721","59.721","48.288","48.288","48.288","48.288"
"00:00:07","59.261","59.261","59.261","59.261","48.275","48.275","48.275","48.275"
"00:00:08","58.951","58.951","58.951","58.951","48.243","48.243","48.243","48.243"
"00:00:09","58.734","58.734","58.734","58.734","48.219","48.219","48.219","48.219"
"00:00:10","58.508","58.508","58.508","58.508","48.168","48.168","48.168","48.168"
"00:00:11","58.373","58.373","58.373","58.373","48.128","48.128","48.128","48.128"
"00:00:12","58.245","58.245","58.245","58.245","48.081","48.081","48.081","48.081"
"00:00:13","58.100","58.100","58.100","58.100","48.030","48.030","48.030","48.030"
"00:00:14","57.999","57.999","57.999","57.999","47.988","47.988","47.988","47.988"
"00:00:15","57.907","57.907","57.907","57.907","47.950","47.950","47.950","47.950"
"00:00:16","57.790","57.790","57.790","57.790","47.886","47.886","47.886","47.886"
"00:00:17","57.703","57.703","57.703","57.703","47.837","47.837","47.837","47.837"
"00:00:18","57.616","57.616","57.616","57.616","47.788","47.788","47.788","47.788"
"00:00:19","57.519","57.519","57.519","57.519","47.732","47.732","47.732","47.732"
"00:00:20","57.436","57.436","57.436","57.436","47.677","47.677","47.677","47.677"
"00:00:21","57.362","57.362","57.362","57.362","47.636","47.636","47.636","47.636"
"00:00:22","57.257","57.257","57.257","57.257","47.552","47.552","47.552","47.552"
"00:00:23","57.181","57.181","57.181","57.181","47.510","47.510","47.510","47.510"
"00:00:24","57.121","57.121","57.121","57.121","47.456","47.456","47.456","47.456"
"00:00:25","57.022","57.022","57.022","57.022","47.381","47.381","47.381","47.381"
"00:00:26","56.951","56.951","56.951","56.951","47.321","47.321","47.321","47.321"
"00:00:27","56.888","56.888","56.888","56.888","47.267","47.267","47.267","47.267"
"00:00:28","56.807","56.807","56.807","56.807","47.187","47.187","47.187","47.187"
"00:00:29","56.742","56.742","56.742","56.742","47.129","47.129","47.129","47.129"
"00:00:30","56.684","56.684","56.684","56.684","47.064","47.064","47.064","47.064"
"00:00:31","56.608","56.608","56.608","56.608","46.995","46.995","46.995","46.995"
"00:00:32","56.540","56.540","56.540","56.540","46.920","46.920","46.920","46.920"
