wavelength (nm),air,water,glycerol,rhodaine-2pc
339.53,127.2,133.7,126.2,126.8
339.91,127.9,135.1,127.5,128.3
340.28,128.3,134.4,126.6,129
340.66,128.2,136.2,128.6,130.4
341.03,130.7,136.6,130,131.4
341.41,131.1,138.4,130.2,130.2
341.78,132.1,138,130.3,131.9
342.16,133,137.9,130.8,131.8
342.54,132.7,139.1,133.2,132.1
342.91,132.9,141.5,132.6,133.8
343.29,133.9,140.3,132.6,133.8
343.66,133.6,139.2,133.2,134.9
344.04,132.3,141.1,134.4,133.4
344.41,133.4,141.8,132.8,134.7
344.79,133.7,140.4,133.4,133.4
345.16,134.9,140.6,132.9,134.1
345.54,134.3,141.1,133.8,134.1
345.91,134.2,140.9,133.3,133.6
346.29,134,139.9,132,132.6
346.66,133.9,140.6,133.6,132.1
347.04,133.3,138.7,132.3,133.2
347.41,134.1,140.1,132,132.5
347.79,133.6,139.9,132.9,133.2
348.16,134.4,141.1,133.3,134.1
348.54,138.8,144.5,135.8,133.5
348.91,137.9,144.1,137.8,133.4
349.29,138.5,144,136.2,133.5
349.66,137.8,143.4,136.7,133.8
350.04,138.8,144.2,136.8,134.1
350.41,138.4,143.7,136,133.8
350.79,138.1,145.1,137.5,134
351.16,138.9,145.9,138,133.5
351.54,138.6,144.3,137.8,133.9
351.91,138.9,143.9,139,133.8
352.29,139,144.7,138.5,133.9
352.66,140.4,145.4,136.5,133.1
353.04,139.4,145.9,137.6,133.7
353.41,139.8,145.6,139,134
353.78,138.8,146.9,138.2,134.9
354.16,141.3,145.4,140.3,135.1
354.53,141.3,146.1,139.3,133
354.91,140.9,146.2,139.5,132.8
355.28,141.7,146.8,141.8,134.1
355.66,141.4,145.8,140.8,134.1
356.03,140.3,146.5,138.7,134.2
356.4,141.7,147.8,139.8,133.6
356.78,141.8,147,140.9,134.7
357.15,140.1,148.2,139.6,134.2
357.53,142,147,140.3,133.7
357.9,142.3,147.9,140.8,134.5
358.28,143.7,146.5,141.6,135.2
358.65,142.4,149.3,141.5,135.4
359.02,142.6,148.3,142,133.6
359.4,142.4,149.6,140.9,134.1
359.77,143.7,148.7,143.3,133.5
360.15,142.3,147.5,143.3,134.9
360.52,142.8,149.8,143.3,134.6
360.89,143.9,150.4,144.4,136.1
361.27,143.9,148.8,144.3,135.4
361.64,143.8,149.1,142.6,133.8
362.01,144.2,150.4,143.4,134.5
362.39,145.1,149.8,143.3,134.9
362.76,144.2,150.6,144.4,136.3
363.14,145.3,151.6,144.1,134.7
363.51,144.7,151.1,145.7,134.3
363.88,146.1,151.6,145.3,136.3
364.26,146.6,151.4,147.5,135.2
364.63,145.9,152.7,146.4,135
365,146.5,152,146.3,135.3
365.38,147.3,152.5,146.8,135.5
365.75,148.2,152.1,147.6,135.1
366.12,147,152.7,146.6,134.1
366.5,148,153.9,147.6,134.6
366.87,148.8,153,149.1,133.6
367.24,148.5,154.9,149.7,133.9
367.62,149.1,154.2,151.5,135.1
367.99,150.6,155,149.9,134.9
368.36,150.5,153.5,151.1,135.6
368.74,149.1,155.9,151.5,134.6
369.11,151.6,155.5,150.8,135.9
369.48,151.4,156.8,150.8,135.6
369.86,152.6,157.4,152.6,135
370.23,152.5,156.2,153.6,135.6
370.6,151.9,156.6,155.4,134.5
370.97,152.8,157.6,154,136.5
371.35,152.6,159.1,153.9,136.3
371.72,153.6,158.1,155.1,136.5
372.09,154.9,159.5,155.1,135.3
372.47,155.2,159.5,157.6,135.5
372.84,154.6,159.2,158.1,135
373.21,154.4,161.1,159.3,135.5
373.58,156.3,159.5,158.4,136.2
373.96,155.7,160,157.5,135.4
374.33,156.5,161,159.8,136.3
374.7,156.3,157.8,160.9,135
375.07,155.3,156.9,158.7,136
375.45,155.1,161.2,160.1,136.9
375.82,157.3,160.9,159.1,135.3
376.19,160.9,165.3,161.2,135.5
376.56,159.7,163.7,163.2,135.4
376.94,161.3,163.1,166.1,134.9
377.31,161.2,163,165.7,136.2
377.68,160.9,166.3,167.3,137.8
378.05,161.4,165.6,168.6,137.2
378.43,162.2,163.9,166,136
378.8,162.5,165.2,164.3,136
379.17,162.7,165.7,168.6,135.7
379.54,165,164.8,169.4,135.4
379.92,165.4,167.1,170.4,135.1
380.29,164.4,168.6,170.6,134.9
380.66,166,168.4,173.3,135.7
381.03,167.9,169.8,173.9,134.7
381.4,168,170.4,174.8,136.1
381.78,170.5,170.7,176.3,135.9
382.15,170.6,171.5,177.4,135.3
382.52,171.8,171.5,176.4,137.3
382.89,172.3,172.3,179.6,137
383.26,173.8,174.2,180.5,135.7
383.63,172.9,176,179.8,135.8
384.01,174.2,176.8,183.6,136.9
384.38,175.7,176.6,183.8,136.8
384.75,176.6,176.7,186.9,135.8
385.12,177.3,178.3,188.5,136.2
385.49,179.8,179.6,189.1,135.6
385.86,180.7,180,190.9,135.2
386.24,181.4,182.3,192.7,135
386.61,184,181.7,193.5,135.8
386.98,183,183.7,195.6,137.6
387.35,185.5,182.7,196.8,136.6
387.72,185.3,183.9,197.6,137.7
388.09,187,185.6,200.1,136.5
388.46,189.7,186.9,200.7,135.1
388.84,189,187.7,202.4,136.3
389.21,190.8,189.6,204.8,137.5
389.58,190.8,190.5,204,136.1
389.95,192.5,190,207.6,136.6
390.32,195,191.3,212,137.2
390.69,195.5,194,212.8,136.6
391.06,196.2,194.6,211.4,136.2
391.43,197.7,195.6,214.5,136.1
391.81,201.8,195.6,216.7,136.2
392.18,200.5,198.5,218.5,136.1
392.55,200,198.1,221.1,136.8
392.92,203.4,197.9,220,136.4
393.29,207.6,201.2,225.3,135.9
393.66,207.5,202.5,225.7,137.6
394.03,206.6,201.3,225.9,136.2
394.4,209.2,201,227.5,137
394.77,208.8,203.4,229.3,137.5
395.14,208.6,206.9,231.1,137
395.51,211.8,208.1,234.5,136.6
395.88,215.6,211,236.8,136.2
396.25,213.8,208.1,238.7,138
396.63,216,209.8,240.4,137.4
397,219.6,212.7,242.4,138.3
397.37,219.5,213.9,245.5,136.8
397.74,223.4,215.6,251.2,135.8
398.11,222.1,215,248.6,136.8
398.48,225.6,218.8,252.2,137.5
398.85,227.7,219.1,256.1,137.3
399.22,225.8,219.8,257.2,137.3
