"","Channel 3 Last (C)","Channel 3 Ave. (C)","Channel 3 Min. (C)","Channel 3 Max. (C)","Channel 7 Last (C)","Channel 7 Ave. (C)","Channel 7 Min. (C)","Channel 7 Max. (C)"
"00:00:00","23.355","23.355","23.355","23.355","22.950","22.950","22.950","22.950"
"00:00:01","23.399","23.399","23.399","23.399","22.965","22.965","22.965","22.965"
"00:00:02","23.444","23.444","23.444","23.444","23.017","23.017","23.017","23.017"
"00:00:03","23.484","23.484","23.484","23.484","23.046","23.046","23.046","23.046"
"00:00:04","23.521","23.521","23.521","23.521","23.091","23.091","23.091","23.091"
"00:00:05","23.569","23.569","23.569","23.569","23.128","23.128","23.128","23.128"
"00:00:06","23.591","23.591","23.591","23.591","23.180","23.180","23.180","23.180"
"00:00:07","23.632","23.632","23.632","23.632","23.216","23.216","23.216","23.216"
"00:00:08","23.658","23.658","23.658","23.658","23.261","23.261","23.261","23.261"
"00:00:09","23.695","23.695","23.695","23.695","23.298","23.298","23.298","23.298"
"00:00:10","23.736","23.736","23.736","23.736","23.364","23.364","23.364","23.364"
"00:00:11","23.762","23.762","23.762","23.762","23.401","23.401","23.401","23.401"
"00:00:12","23.799","23.799","23.799","23.799","23.446","23.446","23.446","23.446"
"00:00:13","23.829","23.829","23.829","23.829","23.516","23.516","23.516","23.516"
"00:00:14","23.866","23.866","23.866","23.866","23.564","23.564","23.564","23.564"
"00:00:15","23.903","23.903","23.903","23.903","23.619","23.619","23.619","23.619"
"00:00:16","23.940","23.940","23.940","23.940","23.686","23.686","23.686","23.686"
"00:00:17","23.976","23.976","23.976","23.976","23.745","23.745","23.745","23.745"
"00:00:18","24.021","24.021","24.021","24.021","23.796","23.796","23.796","23.796"
"00:00:19","24.065","24.065","24.065","24.065","23.874","23.874","23.874","23.874"
"00:00:20","24.087","24.087","24.087","24.087","23.918","23.918","23.918","23.918"
"00:00:21","24.121","24.121","24.121","24.121","23.970","23.970","23.970","23.970"
"00:00:22","24.176","24.176","24.176","24.176","24.055","24.055","24.055","24.055"
"00:00:23","24.195","24.195","24.195","24.195","24.103","24.103","24.103","24.103"
"00:00:24","24.232","24.232","24.232","24.232","24.158","24.158","24.158","24.158"
"00:00:25","24.280","24.280","24.280","24.280","24.232","24.232","24.232","24.232"
"00:00:26","24.317","24.317","24.317","24.317","24.291","24.291","24.291","24.291"
"00:00:27","24.358","24.358","24.358","24.358","24.350","24.350","24.350","24.350"
"00:00:28","24.395","24.395","24.395","24.395","24.435","24.435","24.435","24.435"
