"","Channel 3 Last (C)","Channel 3 Ave. (C)","Channel 3 Min. (C)","Channel 3 Max. (C)","Channel 7 Last (C)","Channel 7 Ave. (C)","Channel 7 Min. (C)","Channel 7 Max. (C)"
"00:00:00","25.095","25.095","25.095","25.095","21.924","21.924","21.924","21.924"
"00:00:01","25.084","25.084","25.084","25.084","21.925","21.925","21.925","21.925"
"00:00:02","25.069","25.069","25.069","25.069","21.921","21.921","21.921","21.921"
"00:00:03","25.058","25.058","25.058","25.058","21.923","21.923","21.923","21.923"
"00:00:04","25.041","25.041","25.041","25.041","21.921","21.921","21.921","21.921"
"00:00:05","25.036","25.036","25.036","25.036","21.924","21.924","21.924","21.924"
"00:00:06","25.044","25.044","25.044","25.044","21.924","21.924","21.924","21.924"
"00:00:07","25.044","25.044","25.044","25.044","21.929","21.929","21.929","21.929"
"00:00:08","25.049","25.049","25.049","25.049","21.935","21.935","21.935","21.935"
"00:00:09","25.049","25.049","25.049","25.049","21.938","21.938","21.938","21.938"
"00:00:10","25.050","25.050","25.050","25.050","21.936","21.936","21.936","21.936"
"00:00:11","25.055","25.055","25.055","25.055","21.943","21.943","21.943","21.943"
"00:00:12","25.055","25.055","25.055","25.055","21.941","21.941","21.941","21.941"
"00:00:13","25.060","25.060","25.060","25.060","21.948","21.948","21.948","21.948"
"00:00:14","25.071","25.071","25.071","25.071","21.950","21.950","21.950","21.950"
"00:00:15","25.086","25.086","25.086","25.086","21.960","21.960","21.960","21.960"
"00:00:16","25.096","25.096","25.096","25.096","21.956","21.956","21.956","21.956"
"00:00:17","25.123","25.123","25.123","25.123","21.968","21.968","21.968","21.968"
"00:00:18","25.153","25.153","25.153","25.153","21.974","21.974","21.974","21.974"
"00:00:19","25.186","25.186","25.186","25.186","21.987","21.987","21.987","21.987"
"00:00:20","25.222","25.222","25.222","25.222","21.996","21.996","21.996","21.996"
"00:00:21","25.261","25.261","25.261","25.261","22.001","22.001","22.001","22.001"
"00:00:22","25.297","25.297","25.297","25.297","22.010","22.010","22.010","22.010"
"00:00:23","25.348","25.348","25.348","25.348","22.021","22.021","22.021","22.021"
"00:00:24","25.394","25.394","25.394","25.394","22.035","22.035","22.035","22.035"
"00:00:25","25.447","25.447","25.447","25.447","22.051","22.051","22.051","22.051"
"00:00:26","25.506","25.506","25.506","25.506","22.058","22.058","22.058","22.058"
"00:00:27","25.559","25.559","25.559","25.559","22.069","22.069","22.069","22.069"
"00:00:28","25.601","25.601","25.601","25.601","22.069","22.069","22.069","22.069"
"00:00:29","25.657","25.657","25.657","25.657","22.080","22.080","22.080","22.080"
"00:00:30","25.717","25.717","25.717","25.717","22.091","22.091","22.091","22.091"
"00:00:31","25.770","25.770","25.770","25.770","22.105","22.105","22.105","22.105"
"00:00:32","25.825","25.825","25.825","25.825","22.105","22.105","22.105","22.105"
"00:00:33","25.891","25.891","25.891","25.891","22.125","22.125","22.125","22.125"
"00:00:34","25.946","25.946","25.946","25.946","22.136","22.136","22.136","22.136"
"00:00:35","26.010","26.010","26.010","26.010","22.146","22.146","22.146","22.146"
"00:00:36","26.078","26.078","26.078","26.078","22.165","22.165","22.165","22.165"
"00:00:37","26.131","26.131","26.131","26.131","22.170","22.170","22.170","22.170"
"00:00:38","26.186","26.186","26.186","26.186","22.172","22.172","22.172","22.172"
"00:00:39","26.250","26.250","26.250","26.250","22.188","22.188","22.188","22.188"
"00:00:40","26.305","26.305","26.305","26.305","22.195","22.195","22.195","22.195"
"00:00:41","26.371","26.371","26.371","26.371","22.208","22.208","22.208","22.208"
"00:00:42","26.439","26.439","26.439","26.439","22.222","22.222","22.222","22.222"
"00:00:43","26.495","26.495","26.495","26.495","22.233","22.233","22.233","22.233"
"00:00:44","26.553","26.553","26.553","26.553","22.247","22.247","22.247","22.247"
"00:00:45","26.626","26.626","26.626","26.626","22.260","22.260","22.260","22.260"
"00:00:46","26.681","26.681","26.681","26.681","22.267","22.267","22.267","22.267"
"00:00:47","26.738","26.738","26.738","26.738","22.275","22.275","22.275","22.275"
"00:00:48","26.807","26.807","26.807","26.807","22.291","22.291","22.291","22.291"
"00:00:49","26.864","26.864","26.864","26.864","22.296","22.296","22.296","22.296"
"00:00:50","26.933","26.933","26.933","26.933","22.314","22.314","22.314","22.314"
"00:00:51","27.000","27.000","27.000","27.000","22.329","22.329","22.329","22.329"
"00:00:52","27.053","27.053","27.053","27.053","22.347","22.347","22.347","22.347"
"00:00:53","27.125","27.125","27.125","27.125","22.356","22.356","22.356","22.356"
"00:00:54","27.185","27.185","27.185","27.185","22.363","22.363","22.363","22.363"
"00:00:55","27.247","27.247","27.247","27.247","22.370","22.370","22.370","22.370"
"00:00:56","27.301","27.301","27.301","27.301","22.378","22.378","22.378","22.378"
"00:00:57","27.374","27.374","27.374","27.374","22.394","22.394","22.394","22.394"
"00:00:58","27.433","27.433","27.433","27.433","22.418","22.418","22.418","22.418"
"00:00:59","27.504","27.504","27.504","27.504","22.429","22.429","22.429","22.429"
"00:01:00","27.568","27.568","27.568","27.568","22.443","22.443","22.443","22.443"
"00:01:01","27.627","27.627","27.627","27.627","22.454","22.454","22.454","22.454"
"00:01:02","27.695","27.695","27.695","27.695","22.468","22.468","22.468","22.468"
"00:01:03","27.761","27.761","27.761","27.761","22.476","22.476","22.476","22.476"
"00:01:04","27.814","27.814","27.814","27.814","22.488","22.488","22.488","22.488"
"00:01:05","27.883","27.883","27.883","27.883","22.507","22.507","22.507","22.507"
"00:01:06","27.950","27.950","27.950","27.950","22.516","22.516","22.516","22.516"
"00:01:07","28.005","28.005","28.005","28.005","22.527","22.527","22.527","22.527"
"00:01:08","28.066","28.066","28.066","28.066","22.538","22.538","22.538","22.538"
"00:01:09","28.130","28.130","28.130","28.130","22.552","22.552","22.552","22.552"
"00:01:10","28.187","28.187","28.187","28.187","22.563","22.563","22.563","22.563"
"00:01:11","28.253","28.253","28.253","28.253","22.579","22.579","22.579","22.579"
"00:01:12","28.315","28.315","28.315","28.315","22.592","22.592","22.592","22.592"
"00:01:13","28.374","28.374","28.374","28.374","22.601","22.601","22.601","22.601"
"00:01:14","28.435","28.435","28.435","28.435","22.609","22.609","22.609","22.609"
"00:01:15","28.491","28.491","28.491","28.491","22.617","22.617","22.617","22.617"
"00:01:16","28.552","28.552","28.552","28.552","22.630","22.630","22.630","22.630"
"00:01:17","28.612","28.612","28.612","28.612","22.642","22.642","22.642","22.642"
"00:01:18","28.675","28.675","28.675","28.675","22.661","22.661","22.661","22.661"
"00:01:19","28.739","28.739","28.739","28.739","22.668","22.668","22.668","22.668"
"00:01:20","28.796","28.796","28.796","28.796","22.686","22.686","22.686","22.686"
"00:01:21","28.854","28.854","28.854","28.854","22.697","22.697","22.697","22.697"
"00:01:22","28.922","28.922","28.922","28.922","22.710","22.710","22.710","22.710"
"00:01:23","28.987","28.987","28.987","28.987","22.728","22.728","22.728","22.728"
"00:01:24","29.055","29.055","29.055","29.055","22.735","22.735","22.735","22.735"
"00:01:25","29.097","29.097","29.097","29.097","22.746","22.746","22.746","22.746"
"00:01:26","29.158","29.158","29.158","29.158","22.758","22.758","22.758","22.758"
"00:01:27","29.227","29.227","29.227","29.227","22.777","22.777","22.777","22.777"
"00:01:28","29.284","29.284","29.284","29.284","22.785","22.785","22.785","22.785"
"00:01:29","29.343","29.343","29.343","29.343","22.797","22.797","22.797","22.797"
"00:01:30","29.409","29.409","29.409","29.409","22.812","22.812","22.812","22.812"
"00:01:31","29.462","29.462","29.462","29.462","22.821","22.821","22.821","22.821"
"00:01:32","29.525","29.525","29.525","29.525","22.835","22.835","22.835","22.835"
"00:01:33","29.581","29.581","29.581","29.581","22.841","22.841","22.841","22.841"
"00:01:34","29.638","29.638","29.638","29.638","22.856","22.856","22.856","22.856"
"00:01:35","29.703","29.703","29.703","29.703","22.865","22.865","22.865","22.865"
"00:01:36","29.767","29.767","29.767","29.767","22.881","22.881","22.881","22.881"
"00:01:37","29.816","29.816","29.816","29.816","22.892","22.892","22.892","22.892"
"00:01:38","29.885","29.885","29.885","29.885","22.908","22.908","22.908","22.908"
"00:01:39","29.947","29.947","29.947","29.947","22.923","22.923","22.923","22.923"
"00:01:40","29.996","29.996","29.996","29.996","22.934","22.934","22.934","22.934"
"00:01:41","30.055","30.055","30.055","30.055","22.942","22.942","22.942","22.942"
"00:01:42","30.118","30.118","30.118","30.118","22.963","22.963","22.963","22.963"
"00:01:43","30.171","30.171","30.171","30.171","22.974","22.974","22.974","22.974"
"00:01:44","30.239","30.239","30.239","30.239","22.982","22.982","22.982","22.982"
"00:01:45","30.287","30.287","30.287","30.287","22.994","22.994","22.994","22.994"
"00:01:46","30.336","30.336","30.336","30.336","23.001","23.001","23.001","23.001"
"00:01:47","30.413","30.413","30.413","30.413","23.028","23.028","23.028","23.028"
"00:01:48","30.476","30.476","30.476","30.476","23.043","23.043","23.043","23.043"
"00:01:49","30.529","30.529","30.529","30.529","23.054","23.054","23.054","23.054"
"00:01:50","30.582","30.582","30.582","30.582","23.063","23.063","23.063","23.063"
"00:01:51","30.642","30.642","30.642","30.642","23.069","23.069","23.069","23.069"
"00:01:52","30.701","30.701","30.701","30.701","23.085","23.085","23.085","23.085"
"00:01:53","30.752","30.752","30.752","30.752","23.096","23.096","23.096","23.096"
"00:01:54","30.820","30.820","30.820","30.820","23.120","23.120","23.120","23.120"
"00:01:55","30.883","30.883","30.883","30.883","23.135","23.135","23.135","23.135"
"00:01:56","30.936","30.936","30.936","30.936","23.145","23.145","23.145","23.145"
"00:01:57","30.993","30.993","30.993","30.993","23.162","23.162","23.162","23.162"
"00:01:58","31.040","31.040","31.040","31.040","23.168","23.168","23.168","23.168"
"00:01:59","31.100","31.100","31.100","31.100","23.182","23.182","23.182","23.182"
"00:02:00","31.153","31.153","31.153","31.153","23.191","23.191","23.191","23.191"
"00:02:01","31.206","31.206","31.206","31.206","23.200","23.200","23.200","23.200"
"00:02:02","31.256","31.256","31.256","31.256","23.205","23.205","23.205","23.205"
"00:02:03","31.319","31.319","31.319","31.319","23.222","23.222","23.222","23.222"
"00:02:04","31.369","31.369","31.369","31.369","23.234","23.234","23.234","23.234"
"00:02:05","31.422","31.422","31.422","31.422","23.247","23.247","23.247","23.247"
"00:02:06","31.480","31.480","31.480","31.480","23.257","23.257","23.257","23.257"
"00:02:07","31.530","31.530","31.530","31.530","23.274","23.274","23.274","23.274"
"00:02:08","31.590","31.590","31.590","31.590","23.286","23.286","23.286","23.286"
"00:02:09","31.648","31.648","31.648","31.648","23.297","23.297","23.297","23.297"
"00:02:10","31.695","31.695","31.695","31.695","23.305","23.305","23.305","23.305"
