Pixel 1,
V (V),J (A/cm^2)
-4.9976,-8.4733e-05
-4.8994,-6.1637e-05
-4.801,-4.4713e-05
-4.7021,-3.2335e-05
-4.603,-2.3372e-05
-4.5036,-1.6879e-05
-4.4037,-1.2186e-05
-4.2963,-8.6081e-06
-4.1986,-6.2775e-06
-4.1002,-4.5769e-06
-4.0016,-3.3419e-06
-3.9021,-2.441e-06
-3.8028,-1.7889e-06
-3.7034,-1.3155e-06
-3.6037,-9.7235e-07
-3.504,-7.227e-07
-3.4038,-5.393e-07
-3.304,-4.0531e-07
-3.2042,-3.0884e-07
-3.1044,-2.3743e-07
-3.0042,-1.8466e-07
-2.9042,-1.4676e-07
-2.8042,-1.1844e-07
-2.7041,-9.7464e-08
-2.6043,-8.1733e-08
-2.504,-6.96e-08
-2.4041,-6.0258e-08
-2.3042,-5.3314e-08
-2.2043,-4.7707e-08
-2.1041,-4.3058e-08
-2.0038,-3.8921e-08
-1.9039,-3.5662e-08
-1.8039,-3.2557e-08
-1.7042,-2.9849e-08
-1.6042,-2.7393e-08
-1.5038,-2.5187e-08
-1.4039,-2.3212e-08
-1.3039,-2.117e-08
-1.2039,-1.9185e-08
-1.1037,-1.7343e-08
-1.0038,-1.5501e-08
-0.90378,-1.365e-08
-0.80379,-1.1943e-08
-0.70379,-1.0249e-08
-0.60337,-8.5232e-09
-0.50349,-6.8079e-09
-0.40355,-5.086e-09
-0.30371,-3.4457e-09
-0.20371,-1.7482e-09
-0.10343,-1.0149e-10
-0.0033495,1.6854e-09
0.096529,3.2546e-09
0.19653,4.9117e-09
0.29679,6.6069e-09
0.39657,8.183e-09
0.49665,9.9607e-09
0.59656,1.1582e-08
0.69686,1.3271e-08
0.7969,1.5006e-08
0.89696,1.6667e-08
0.99687,1.8573e-08
1.0967,2.0325e-08
1.1969,2.2061e-08
1.2969,2.3804e-08
1.397,2.5662e-08
1.4969,2.767e-08
1.5973,2.9578e-08
1.6971,3.1268e-08
1.7968,3.3061e-08
1.8969,3.5112e-08
1.9972,3.7645e-08
2.0973,3.9377e-08
2.1973,4.1302e-08
2.2974,4.328e-08
2.3975,4.5378e-08
2.4974,4.7111e-08
2.5974,4.9822e-08
2.6973,5.1232e-08
2.7977,5.335e-08
2.8977,5.5517e-08
2.9977,5.7578e-08
3.0976,5.9624e-08
3.1978,6.1693e-08
3.2978,6.4085e-08
3.3979,6.6221e-08
3.4978,6.8215e-08
3.5978,7.0841e-08
3.6984,7.269e-08
3.798,7.4396e-08
3.898,7.6822e-08
3.998,7.95e-08
4.0982,8.1878e-08
4.1983,8.3173e-08
4.2984,8.4194e-08
4.3982,8.5832e-08
4.4983,8.8244e-08
4.5984,9.0519e-08
4.6982,9.1986e-08
4.7982,9.4405e-08
4.8985,9.5801e-08
4.9985,1.0141e-07
