Photodiode Current (A),Temperature (C)
-1.5197e-07,-272.4843171806167
-1.4835e-07,-272.48837004405283
-1.4965e-07,-272.481718061674
-1.5019e-07,-272.4751982378854
-1.5369e-07,-272.4856828193832
-1.4787e-07,-272.4950220264317
-1.4952e-07,-272.4624669603524
-1.4718e-07,-272.47546255506603
-1.4937e-07,-272.4523788546255
-1.4935e-07,-272.4828193832599
-1.7492e-07,-272.42925110132154
-1.7266e-07,-272.465859030837
-1.6792e-07,-272.45229074889863
-1.6755e-07,-272.47017621145375
-1.6905e-07,-272.4751982378854
-1.6254e-07,-272.4759030837004
-1.6742e-07,-272.4688105726872
-1.6317e-07,-272.46955947136564
-1.6323e-07,-272.489295154185
-1.5488e-07,-272.4828193832599
