Photodiode Current (A),Temperature (C)
-1.8176e-07,-272.3769603524229
-1.7825e-07,-272.346872246696
-1.7894e-07,-272.37215859030835
-1.8612e-07,-272.3594273127753
-1.7578e-07,-272.375859030837
-1.7808e-07,-272.34762114537443
-1.8097e-07,-272.36110132158586
-1.7969e-07,-272.37436123348016
-1.7755e-07,-272.37511013215857
-1.7812e-07,-272.39180616740083
-2.036e-07,-272.33414096916295
-2.001e-07,-272.3336123348017
-1.9782e-07,-272.3406167400881
-1.9355e-07,-272.3419823788546
-1.9091e-07,-272.3553744493392
-1.898e-07,-272.3663436123348
-1.9395e-07,-272.35986784140965
-1.8047e-07,-272.36220264317177
-1.8777e-07,-272.3924669603524
-1.8388e-07,-272.3541850220264
