Pixel 1,
V (V),J (A/cm^2)
-4.9967,-8.5835e-05
-4.8999,-4.6847e-05
-4.8021,-2.388e-05
-4.7031,-1.1383e-05
-4.5996,-4.7381e-06
-4.5029,-1.4199e-06
-4.4042,1.9796e-07
-4.305,9.1213e-07
-4.2052,1.1147e-06
-4.1052,1.2325e-06
-4.0053,1.2499e-06
-3.9051,1.3005e-06
-3.8051,1.2778e-06
-3.7052,1.3227e-06
-3.6052,1.3606e-06
-3.5052,1.3448e-06
-3.405,1.3884e-06
-3.305,1.4138e-06
-3.205,1.3889e-06
-3.1053,1.4295e-06
-3.0051,1.4858e-06
-2.905,1.4918e-06
-2.805,1.4876e-06
-2.705,1.5298e-06
-2.6051,1.5242e-06
-2.5049,1.5832e-06
-2.4049,1.5809e-06
-2.3051,1.5632e-06
-2.2051,1.6044e-06
-2.1049,1.5953e-06
-2.0047,1.591e-06
-1.9048,1.6008e-06
-1.8049,1.7023e-06
-1.7051,1.6548e-06
-1.6052,1.6843e-06
-1.5048,1.7189e-06
-1.4048,1.7199e-06
-1.3048,1.722e-06
-1.2049,1.7259e-06
-1.1047,1.7872e-06
-1.0048,1.7631e-06
-0.90488,1.8767e-06
-0.80496,1.8513e-06
-0.70489,1.8476e-06
-0.60443,1.8364e-06
-0.50461,1.8487e-06
-0.40473,1.8818e-06
-0.30491,1.8572e-06
-0.20495,1.9293e-06
-0.10466,1.9552e-06
-0.0046086,1.9217e-06
0.095296,1.9668e-06
0.19526,1.9809e-06
0.29548,2.1034e-06
0.39524,2.0581e-06
0.49526,2.0529e-06
0.59512,2.1276e-06
0.69534,2.2063e-06
0.79541,2.1896e-06
0.89527,2.2222e-06
0.99525,2.2124e-06
1.0948,2.6229e-06
1.1952,2.3864e-06
1.2951,2.5159e-06
1.3948,2.8945e-06
1.4949,2.7314e-06
1.5952,2.7838e-06
1.695,2.7631e-06
1.7947,2.9494e-06
1.8947,2.6298e-06
1.9947,3.2752e-06
2.0947,3.2942e-06
2.1946,3.5028e-06
2.2945,3.5325e-06
2.3954,2.9988e-06
2.4933,4.8269e-06
2.5927,5.3973e-06
2.6922,5.7928e-06
2.7922,6.1105e-06
2.8921,6.3592e-06
2.9917,6.6303e-06
3.0913,6.8205e-06
3.1914,6.7864e-06
3.2909,7.6514e-06
3.3923,6.7881e-06
3.4907,7.7382e-06
3.5906,7.9381e-06
3.6911,7.3832e-06
3.7908,7.9961e-06
3.8905,8.148e-06
3.9908,7.9899e-06
4.0906,8.2681e-06
4.1908,8.1844e-06
4.2909,8.3088e-06
4.3905,8.3017e-06
4.4907,8.2935e-06
4.5908,8.2496e-06
4.6907,8.4785e-06
4.7907,8.5232e-06
4.8908,8.3302e-06
4.9907,8.5879e-06
