Photodiode Current (A),Temperature (C)
1.9149e-06,-264.5460352422907
1.9018e-06,-264.60374449339207
1.9325e-06,-264.5257709251101
1.9082e-06,-264.65792951541846
1.9374e-06,-264.4385462555066
1.9065e-06,-264.62400881057266
1.9488e-06,-264.4165198237885
1.9078e-06,-264.43281938325987
1.956e-06,-264.61387665198237
1.9274e-06,-264.41828193832595
2.2567e-06,-262.91740088105723
2.2158e-06,-262.95660792951537
2.2696e-06,-262.91035242290747
2.236e-06,-262.89713656387664
2.2895e-06,-262.9389867841409
2.2566e-06,-262.8323788546255
2.2944e-06,-262.91740088105723
2.2829e-06,-262.93325991189425
2.3018e-06,-262.72885462555064
2.323e-06,-262.876872246696
