Photodiode Current (A),Temperature (C)
1.3125e-06,-267.1398678414097
1.3273e-06,-267.2381057268722
1.3458e-06,-267.30110132158586
1.2965e-06,-267.2861233480176
1.3265e-06,-267.2530837004405
1.3202e-06,-266.80374449339206
1.3238e-06,-267.27731277533036
1.3895e-06,-267.2006607929515
1.3171e-06,-267.08436123348014
1.3779e-06,-266.7966960352423
1.9184e-06,-264.51299559471363
1.7438e-06,-264.67202643171805
1.8938e-06,-264.53105726872246
1.7489e-06,-264.6033039647577
1.98e-06,-264.5191629955947
1.9972e-06,-264.53898678414095
1.8797e-06,-264.6235682819383
1.7224e-06,-264.5557268722467
1.8952e-06,-264.4645374449339
1.9322e-06,-264.4464757709251
