Pixel 1,
V (V),J (A/cm^2)
-4.9991,-0.00060085
-4.9003,-0.00046417
-4.8014,-0.0003551
-4.7022,-0.00026916
-4.603,-0.00020253
-4.5035,-0.00015147
-4.4036,-0.00011267
-4.2973,-8.1717e-05
-4.1993,-6.0727e-05
-4.1006,-4.5028e-05
-4.0017,-3.3338e-05
-3.9022,-2.4627e-05
-3.8029,-1.8206e-05
-3.7034,-1.3466e-05
-3.5949,-9.708e-06
-3.4974,-7.2428e-06
-3.3989,-5.3966e-06
-3.3003,-4.0243e-06
-3.2014,-3.0042e-06
-3.1024,-2.2461e-06
-3.0027,-1.6787e-06
-2.9031,-1.2582e-06
-2.8034,-9.4466e-07
-2.7035,-7.1099e-07
-2.6038,-5.3706e-07
-2.5036,-4.0719e-07
-2.4038,-3.1033e-07
-2.304,-2.3815e-07
-2.2041,-1.8401e-07
-2.104,-1.4347e-07
-2.0037,-1.1308e-07
-1.9039,-9.012e-08
-1.8038,-7.3033e-08
-1.7042,-5.9907e-08
-1.6042,-4.9874e-08
-1.5039,-4.202e-08
-1.4038,-3.5869e-08
-1.3039,-3.0712e-08
-1.2039,-2.6616e-08
-1.1037,-2.3091e-08
-1.0038,-1.9861e-08
-0.90378,-1.7062e-08
-0.8038,-1.4395e-08
-0.70384,-1.1858e-08
-0.60341,-9.5236e-09
-0.50352,-7.2557e-09
-0.40358,-5.0785e-09
-0.30379,-2.9283e-09
-0.20374,-8.417e-10
-0.10349,1.1817e-09
-0.0034455,3.2437e-09
0.096413,5.2634e-09
0.19642,7.2279e-09
0.29668,9.0848e-09
0.39647,1.1048e-08
0.4965,1.309e-08
0.59643,1.4803e-08
0.69674,1.6784e-08
0.7968,1.8708e-08
0.89677,2.0492e-08
0.99673,2.2406e-08
1.0965,2.4187e-08
1.1968,2.6044e-08
1.2968,2.7895e-08
1.3968,2.9784e-08
1.4967,3.1561e-08
1.5971,3.3419e-08
1.6969,3.5216e-08
1.7967,3.724e-08
1.8967,3.906e-08
1.9971,4.0971e-08
2.0971,4.3013e-08
2.1971,4.4821e-08
2.2973,4.6857e-08
2.3972,4.8742e-08
2.4972,5.0731e-08
2.5972,5.2923e-08
2.6971,5.4718e-08
2.7974,5.7038e-08
2.8975,5.8708e-08
2.9975,6.0735e-08
3.0973,6.28e-08
3.1976,6.4759e-08
3.2976,6.6858e-08
3.3976,6.9017e-08
3.4975,7.0965e-08
3.5975,7.3464e-08
3.698,7.5151e-08
3.7977,7.7437e-08
3.8977,7.9591e-08
3.9978,8.1395e-08
4.0979,8.3596e-08
4.198,8.5904e-08
4.2981,8.8157e-08
4.3979,9.0482e-08
4.498,9.2639e-08
4.598,9.4954e-08
4.6979,9.7255e-08
4.7979,9.9482e-08
4.8982,1.0194e-07
4.9982,1.0382e-07
