Pixel 1,
V (V),J (A/cm^2)
-4.9926,-0.00013842
-4.8956,-0.00010241
-4.7981,-7.5385e-05
-4.6999,-5.52e-05
-4.6013,-4.0318e-05
-4.5023,-2.9374e-05
-4.4028,-2.1357e-05
-4.3034,-1.5544e-05
-4.2038,-1.131e-05
-4.0967,-8.068e-06
-3.9989,-5.9242e-06
-3.9002,-4.3439e-06
-3.8013,-3.1915e-06
-3.7023,-2.3481e-06
-3.6029,-1.7304e-06
-3.5034,-1.2788e-06
-3.4034,-9.4722e-07
-3.3036,-7.0525e-07
-3.2039,-5.2804e-07
-3.1042,-3.9791e-07
-3.0041,-3.022e-07
-2.9041,-2.3152e-07
-2.8041,-1.7954e-07
-2.704,-1.4132e-07
-2.6042,-1.1304e-07
-2.504,-9.1831e-08
-2.4041,-7.6094e-08
-2.3042,-6.4216e-08
-2.2042,-5.5035e-08
-2.1041,-4.8045e-08
-2.0039,-4.2308e-08
-1.9039,-3.7822e-08
-1.804,-3.382e-08
-1.7042,-3.0326e-08
-1.6043,-2.738e-08
-1.5039,-2.4746e-08
-1.4039,-2.2382e-08
-1.3039,-1.9986e-08
-1.204,-1.7849e-08
-1.1038,-1.5812e-08
-1.0039,-1.3886e-08
-0.90387,-1.2091e-08
-0.80388,-1.018e-08
-0.70389,-8.4769e-09
-0.60345,-6.7327e-09
-0.5036,-5.2304e-09
-0.40365,-3.6135e-09
-0.3038,-2.1348e-09
-0.2038,-5.4516e-10
-0.1035,1.0767e-09
-0.003487,2.6671e-09
0.096389,4.1938e-09
0.1964,5.7823e-09
0.29663,7.3886e-09
0.39643,8.8488e-09
0.49646,1.0474e-08
0.59639,1.1994e-08
0.69666,1.3537e-08
0.79672,1.5134e-08
0.89675,1.6599e-08
0.9967,1.8171e-08
1.0965,1.9785e-08
1.1967,2.1386e-08
1.2967,2.3011e-08
1.3968,2.4798e-08
1.4967,2.6442e-08
1.5971,2.8326e-08
1.6969,3.009e-08
1.7967,3.1791e-08
1.8967,3.3521e-08
1.997,3.5315e-08
2.097,3.6984e-08
2.197,3.8729e-08
2.2972,4.0376e-08
2.3972,4.2021e-08
2.4972,4.3893e-08
2.5971,4.5521e-08
2.6971,4.7347e-08
2.7974,4.9182e-08
2.8974,5.0837e-08
2.9974,5.2594e-08
3.0973,5.4473e-08
3.1975,5.6501e-08
3.2975,5.8288e-08
3.3976,6.0146e-08
3.4974,6.2026e-08
3.5974,6.3957e-08
3.698,6.5903e-08
3.7976,6.7762e-08
3.8976,6.9807e-08
3.9977,7.1812e-08
4.0979,7.3868e-08
4.1979,7.596e-08
4.298,7.7912e-08
4.3979,7.9911e-08
4.4979,8.1906e-08
4.598,8.4019e-08
4.6978,8.6298e-08
4.7978,8.8583e-08
4.8981,9.0348e-08
4.9981,9.2916e-08
