Photodiode Current (A),Temperature (C)
-6.9272e-08,-272.81578414096913
-7.482e-08,-272.80093392070484
-7.3187e-08,-272.8098810572687
-7.4338e-08,-272.829436123348
-7.304e-08,-272.83091189427313
-7.147e-08,-272.83635242290745
-7.4988e-08,-272.81947577092507
-7.4443e-08,-272.8049030837004
-6.9167e-08,-272.8193832599119
-7.5888e-08,-272.80508810572684
-8.7654e-08,-272.8035198237885
-9.1192e-08,-272.81633920704843
-8.7193e-08,-272.8426255506608
-9.0313e-08,-272.8211321585903
-8.4848e-08,-272.8399515418502
-8.4032e-08,-272.8130176211454
-7.3794e-08,-272.8288810572687
-8.1561e-08,-272.8454845814978
-7.6914e-08,-272.81679735682815
-7.9091e-08,-272.811449339207
