Photodiode Current (A),Temperature (C)
-9.806e-08,-272.71636123348014
-9.7494e-08,-272.7253039647577
-9.5024e-08,-272.7371101321586
-9.695e-08,-272.74679735682815
-9.3768e-08,-272.73517621145373
-9.0753e-08,-272.71580616740084
-9.6301e-08,-272.73286784140964
-9.3809e-08,-272.7465198237885
-9.8374e-08,-272.74393832599117
-9.4626e-08,-272.7102731277533
-1.1745e-07,-272.73987665198234
-1.115e-07,-272.73250220264316
-1.0177e-07,-272.71718942731275
-1.0287e-07,-272.7696696035242
-1.0392e-07,-272.7457797356828
-1.003e-07,-272.74319823788545
-9.762e-08,-272.7469823788546
-9.5359e-08,-272.7504845814978
-9.5296e-08,-272.7212466960352
-9.2239e-08,-272.7735418502202
