Pixel 1,
V (V),J (A/cm^2)
-5.0021,-2.9306e-05
-4.9032,-1.363e-05
-4.7991,-5.4396e-06
-4.7028,-1.7956e-06
-4.6046,-4.7557e-08
-4.5051,4.8009e-07
-4.405,6.6948e-07
-4.3051,7.2815e-07
-4.2051,7.1406e-07
-4.1051,7.4699e-07
-4.0052,7.8733e-07
-3.9049,7.6798e-07
-3.805,7.979e-07
-3.7051,8.3598e-07
-3.605,8.0979e-07
-3.5051,8.2837e-07
-3.4049,8.6625e-07
-3.3048,8.4918e-07
-3.2049,8.5722e-07
-3.1051,8.9769e-07
-3.0049,8.7992e-07
-2.9049,8.9752e-07
-2.8049,9.4267e-07
-2.7047,9.3153e-07
-2.6049,9.3032e-07
-2.5047,9.7329e-07
-2.4047,9.8371e-07
-2.3049,9.642e-07
-2.2049,1.0108e-06
-2.1048,1.0143e-06
-2.0045,1.0079e-06
-1.9046,1.0576e-06
-1.8046,1.0664e-06
-1.705,1.0565e-06
-1.605,1.1028e-06
-1.5046,1.1179e-06
-1.4047,1.1047e-06
-1.3047,1.1481e-06
-1.2048,1.1749e-06
-1.1046,1.1526e-06
-1.0047,1.19e-06
-0.90465,1.1995e-06
-0.8047,1.2098e-06
-0.70467,1.1955e-06
-0.60428,1.2321e-06
-0.5044,1.2144e-06
-0.40449,1.2411e-06
-0.30465,1.271e-06
-0.20462,1.2498e-06
-0.10437,1.2675e-06
-0.0043409,1.3086e-06
0.095509,1.2871e-06
0.19546,1.3122e-06
0.29571,1.3408e-06
0.39551,1.3296e-06
0.49546,1.4227e-06
0.59535,1.4271e-06
0.6956,1.4664e-06
0.79571,1.4312e-06
0.89575,1.4302e-06
0.99564,1.4508e-06
1.0954,1.4578e-06
1.1957,1.4766e-06
1.2956,1.4902e-06
1.3956,1.5441e-06
1.4956,1.5513e-06
1.5959,1.5305e-06
1.6957,1.5903e-06
1.7955,1.6206e-06
1.8954,1.6313e-06
1.9957,1.6839e-06
2.0958,1.7238e-06
2.1957,1.7619e-06
2.2958,1.7936e-06
2.3958,1.8694e-06
2.4957,1.8908e-06
2.5956,1.9697e-06
2.6954,2.0626e-06
2.7957,2.0977e-06
2.8957,2.1875e-06
2.9956,2.3061e-06
3.0953,2.36e-06
3.1954,2.5127e-06
3.2954,2.6298e-06
3.3953,2.7095e-06
3.495,2.9384e-06
3.5949,3.0371e-06
3.6954,3.126e-06
3.7948,3.2855e-06
3.8946,3.5212e-06
3.9945,3.7133e-06
4.0944,3.9687e-06
4.1942,4.2959e-06
4.2941,4.4444e-06
4.3935,4.8639e-06
4.4931,5.3437e-06
4.5929,5.5716e-06
4.6926,5.8273e-06
4.7927,5.7132e-06
4.8924,6.2902e-06
4.9917,6.8894e-06
