Pixel 1,
V (V),J (A/cm^2)
-4.9999,-5.4008e-05
-4.9011,-3.9014e-05
-4.8021,-2.8128e-05
-4.7027,-2.024e-05
-4.6034,-1.4563e-05
-4.4946,-1.0186e-05
-4.3971,-7.3886e-06
-4.2992,-5.3621e-06
-4.2006,-3.8905e-06
-4.1016,-2.8258e-06
-4.0025,-2.0584e-06
-3.9027,-1.5019e-06
-3.8032,-1.1012e-06
-3.7036,-8.1173e-07
-3.6037,-6.0242e-07
-3.5039,-4.5024e-07
-3.4037,-3.3997e-07
-3.3038,-2.5954e-07
-3.2039,-2.01e-07
-3.1042,-1.5822e-07
-3.004,-1.266e-07
-2.904,-1.0332e-07
-2.804,-8.6229e-08
-2.7039,-7.3323e-08
-2.604,-6.3563e-08
-2.5037,-5.5918e-08
-2.4038,-4.993e-08
-2.304,-4.5075e-08
-2.204,-4.0875e-08
-2.1039,-3.7593e-08
-2.0036,-3.4496e-08
-1.9037,-3.179e-08
-1.8037,-2.9492e-08
-1.704,-2.7151e-08
-1.604,-2.4903e-08
-1.5036,-2.3117e-08
-1.4036,-2.1193e-08
-1.3037,-1.9388e-08
-1.2037,-1.7482e-08
-1.1035,-1.587e-08
-1.0036,-1.43e-08
-0.90357,-1.2653e-08
-0.80361,-1.1018e-08
-0.70361,-9.4855e-09
-0.60319,-7.8509e-09
-0.50332,-6.1705e-09
-0.40337,-4.7742e-09
-0.30353,-3.1759e-09
-0.20351,-1.7011e-09
-0.10327,-4.1072e-11
-0.0032452,1.3055e-09
0.096682,2.9216e-09
0.19666,4.4951e-09
0.29688,6.0482e-09
0.3967,7.5922e-09
0.49673,9.1899e-09
0.59666,1.0596e-08
0.69692,1.2265e-08
0.79703,1.368e-08
0.89701,1.5232e-08
0.99695,1.6863e-08
1.0967,1.8466e-08
1.197,1.9903e-08
1.2969,2.1448e-08
1.397,2.309e-08
1.4969,2.4731e-08
1.5973,2.6365e-08
1.6971,2.8097e-08
1.7969,2.9529e-08
1.8969,3.1242e-08
1.9972,3.2945e-08
2.0973,3.4671e-08
2.1973,3.6396e-08
2.2974,3.8059e-08
2.3974,3.973e-08
2.4974,4.1466e-08
2.5974,4.3125e-08
2.6972,4.481e-08
2.7976,4.6767e-08
2.8976,4.8527e-08
2.9976,5.0242e-08
3.0975,5.1992e-08
3.1977,5.3793e-08
3.2978,5.5583e-08
3.3978,5.743e-08
3.4977,5.9288e-08
3.5977,6.1101e-08
3.6982,6.2963e-08
3.7979,6.501e-08
3.8979,6.69e-08
3.9979,6.8873e-08
4.0981,7.0842e-08
4.1981,7.2686e-08
4.2982,7.4914e-08
4.3981,7.6649e-08
4.4982,7.8685e-08
4.5982,8.0767e-08
4.698,8.2907e-08
4.7981,8.4898e-08
4.8983,8.6917e-08
4.9983,8.8839e-08
