Photodiode Current (A),Temperature (C)
1.2893e-06,-267.5544052863436
1.2505e-06,-267.46894273127754
1.2895e-06,-267.5416299559471
1.2573e-06,-267.52621145374445
1.2979e-06,-267.5218061674009
1.259e-06,-267.57599118942727
1.2874e-06,-267.45616740088104
1.2628e-06,-267.63546255506606
1.2867e-06,-267.43281938325987
1.2735e-06,-267.6191629955947
1.2033e-06,-267.54030837004404
1.254e-06,-267.62533039647576
1.2361e-06,-267.53942731277533
1.2533e-06,-267.55925110132154
1.2424e-06,-267.57863436123347
1.26e-06,-267.53546255506603
1.2641e-06,-267.65572687224665
1.2603e-06,-267.5213656387665
1.2735e-06,-267.65572687224665
1.2558e-06,-267.497577092511
