Pixel 1,
V (V),J (A/cm^2)
-4.9985,-0.00066725
-4.9005,-0.00045135
-4.8022,-0.00028527
-4.7032,-0.00017371
-4.6041,-0.00010128
-4.5,-5.5328e-05
-4.402,-3.037e-05
-4.3034,-1.5597e-05
-4.2041,-7.8824e-06
-4.1014,-3.2885e-06
-4.0039,-9.2369e-07
-3.9048,4.0614e-07
-3.8055,9.027e-07
-3.7058,1.148e-06
-3.6058,1.2107e-06
-3.5059,1.2048e-06
-3.4056,1.2814e-06
-3.3056,1.2803e-06
-3.2057,1.2753e-06
-3.1059,1.3465e-06
-3.0057,1.3266e-06
-2.9056,1.3387e-06
-2.8056,1.3823e-06
-2.7055,1.3571e-06
-2.6056,1.3886e-06
-2.5054,1.4643e-06
-2.4055,1.4216e-06
-2.3056,1.4976e-06
-2.2057,1.479e-06
-2.1056,1.5741e-06
-2.0053,1.5984e-06
-1.9054,1.6014e-06
-1.8055,1.6617e-06
-1.7058,1.6903e-06
-1.6058,1.6802e-06
-1.5055,1.7183e-06
-1.4055,1.7434e-06
-1.3055,1.7064e-06
-1.2056,1.7737e-06
-1.1054,1.7354e-06
-1.0055,1.792e-06
-0.90541,1.7696e-06
-0.80548,1.7646e-06
-0.70548,1.8217e-06
-0.60504,1.8105e-06
-0.50517,1.801e-06
-0.40528,1.8211e-06
-0.30549,1.8536e-06
-0.20543,1.8671e-06
-0.10514,1.8549e-06
-0.0051958,1.9062e-06
0.094701,1.9227e-06
0.19472,1.9561e-06
0.29496,1.9324e-06
0.39478,1.9628e-06
0.49474,2.0156e-06
0.59467,2.0182e-06
0.69496,2.02e-06
0.79487,2.1195e-06
0.89504,2.0155e-06
0.99488,2.1665e-06
1.0948,2.1258e-06
1.1949,2.1707e-06
1.2948,2.154e-06
1.3948,2.2491e-06
1.4948,2.1824e-06
1.5953,2.1879e-06
1.6951,2.2627e-06
1.7947,2.2813e-06
1.8948,2.2498e-06
1.995,2.3402e-06
2.0952,2.2333e-06
2.1951,2.4348e-06
2.2951,2.4713e-06
2.3952,2.4229e-06
2.4949,2.6371e-06
2.5948,2.6577e-06
2.6947,2.7373e-06
2.7945,3.232e-06
2.8949,2.8512e-06
2.9944,3.5059e-06
3.0944,3.3908e-06
3.1946,3.273e-06
3.2938,4.1402e-06
3.3946,3.631e-06
3.4941,3.6596e-06
3.594,4.3835e-06
3.6942,4.2405e-06
3.7939,4.2971e-06
3.8939,4.3136e-06
3.9939,4.4408e-06
4.0941,4.4138e-06
4.1941,4.4089e-06
4.2941,4.4732e-06
4.3939,3.623e-06
4.4942,4.369e-06
4.5938,4.4294e-06
4.694,4.4287e-06
4.794,4.5268e-06
4.894,4.6841e-06
4.9941,4.4741e-06
