Photodiode Current (A),Temperature (C)
1.7135e-06,-265.6213656387665
1.7479e-06,-265.68215859030835
1.6826e-06,-265.5055066079295
1.8141e-06,-265.47907488986783
1.73e-06,-265.6746696035242
1.7046e-06,-265.5473568281938
1.6951e-06,-265.5204845814978
1.7733e-06,-265.5936123348017
1.7035e-06,-265.72973568281935
1.7485e-06,-265.3574889867841
1.8447e-06,-264.85969162995593
1.8634e-06,-264.7200440528634
1.8657e-06,-264.7689427312775
1.8721e-06,-264.74030837004403
1.9106e-06,-264.78788546255504
1.8829e-06,-264.4962555066079
1.9141e-06,-264.8200440528634
1.8679e-06,-264.8033039647577
1.921e-06,-264.73105726872245
1.8734e-06,-264.8059471365639
