Pixel 1,
V (V),J (A/cm^2)
-4.9976,-7.8651e-05
-4.9006,-4.3731e-05
-4.8025,-2.2772e-05
-4.7035,-1.0915e-05
-4.6003,-4.2585e-06
-4.5034,-1.2346e-06
-4.4044,1.0385e-07
-4.305,6.5957e-07
-4.2052,8.4028e-07
-4.1053,9.2395e-07
-4.0054,9.5388e-07
-3.9051,9.4697e-07
-3.8051,9.6468e-07
-3.7053,1.0126e-06
-3.6053,1.0051e-06
-3.5053,1.0332e-06
-3.405,1.0234e-06
-3.305,1.0293e-06
-3.2051,1.0722e-06
-3.1053,1.0786e-06
-3.0051,1.0576e-06
-2.905,1.0644e-06
-2.805,1.1035e-06
-2.7049,1.103e-06
-2.605,1.1079e-06
-2.5048,1.1188e-06
-2.4049,1.1172e-06
-2.305,1.1414e-06
-2.205,1.1354e-06
-2.1049,1.1296e-06
-2.0047,1.1583e-06
-1.9047,1.1436e-06
-1.8047,1.1527e-06
-1.7051,1.1473e-06
-1.6051,1.1846e-06
-1.5047,1.1917e-06
-1.4047,1.2038e-06
-1.3047,1.1819e-06
-1.2048,1.196e-06
-1.1046,1.197e-06
-1.0047,1.24e-06
-0.90466,1.2213e-06
-0.80473,1.2251e-06
-0.70468,1.2404e-06
-0.6043,1.2745e-06
-0.50444,1.2507e-06
-0.40448,1.2685e-06
-0.30469,1.2807e-06
-0.20465,1.2899e-06
-0.10438,1.3184e-06
-0.0043464,1.2903e-06
0.095503,1.338e-06
0.19552,1.3421e-06
0.29574,1.3257e-06
0.39546,1.3629e-06
0.49551,1.3926e-06
0.59543,1.3689e-06
0.69568,1.4015e-06
0.79576,1.4353e-06
0.89578,1.4054e-06
0.99571,1.4258e-06
1.0955,1.4379e-06
1.1957,1.4643e-06
1.2957,1.4599e-06
1.3957,1.5142e-06
1.4956,1.5331e-06
1.5959,1.5185e-06
1.6958,1.554e-06
1.7955,1.5899e-06
1.8955,1.604e-06
1.9958,1.6317e-06
2.0958,1.6706e-06
2.1959,1.6803e-06
2.2959,1.6951e-06
2.3959,1.7216e-06
2.4958,1.7891e-06
2.5958,1.8115e-06
2.6956,1.8719e-06
2.7959,1.9237e-06
2.8959,1.9392e-06
2.9959,1.9969e-06
3.0957,2.0969e-06
3.1958,2.1382e-06
3.2958,2.2291e-06
3.3957,2.307e-06
3.4955,2.3536e-06
3.5954,2.4575e-06
3.6959,2.5884e-06
3.7954,2.6828e-06
3.8953,2.8078e-06
3.9952,2.9585e-06
4.0952,3.1149e-06
4.1951,3.2783e-06
4.295,3.4547e-06
4.3948,3.5682e-06
4.4946,3.826e-06
4.5946,3.976e-06
4.6941,4.2031e-06
4.7938,4.7398e-06
4.8937,4.8937e-06
4.9938,4.83e-06
