Pixel 1,
V (V),J (A/cm^2)
-4.9986,-6.976e-05
-4.9001,-5.0684e-05
-4.8014,-3.6725e-05
-4.7023,-2.6543e-05
-4.6031,-1.9174e-05
-4.5036,-1.3838e-05
-4.3948,-9.7242e-06
-4.2976,-7.088e-06
-4.1994,-5.1612e-06
-4.1008,-3.7594e-06
-4.0019,-2.7437e-06
-3.9023,-2.0038e-06
-3.8029,-1.4693e-06
-3.7034,-1.082e-06
-3.6036,-8.0003e-07
-3.5039,-5.9541e-07
-3.4037,-4.4573e-07
-3.3038,-3.3697e-07
-3.2039,-2.575e-07
-3.1042,-1.9926e-07
-3.004,-1.565e-07
-2.904,-1.25e-07
-2.804,-1.017e-07
-2.7039,-8.4247e-08
-2.604,-7.1278e-08
-2.5038,-6.1378e-08
-2.4039,-5.3703e-08
-2.304,-4.8121e-08
-2.2041,-4.2939e-08
-2.1039,-3.8876e-08
-2.0037,-3.5512e-08
-1.9038,-3.2471e-08
-1.8038,-2.9788e-08
-1.7041,-2.7399e-08
-1.6041,-2.5201e-08
-1.5037,-2.3103e-08
-1.4038,-2.1264e-08
-1.3038,-1.9278e-08
-1.2038,-1.7486e-08
-1.1036,-1.5787e-08
-1.0037,-1.4143e-08
-0.90367,-1.2499e-08
-0.80372,-1.0761e-08
-0.70371,-9.2246e-09
-0.60328,-7.6213e-09
-0.50343,-6.0881e-09
-0.40348,-4.4552e-09
-0.30366,-2.9608e-09
-0.20361,-1.4754e-09
-0.10336,1.5002e-10
-0.00331,1.6452e-09
0.096564,3.14e-09
0.19652,4.721e-09
0.29681,6.2248e-09
0.39654,7.741e-09
0.49663,9.3133e-09
0.59656,1.0834e-08
0.69681,1.2383e-08
0.79687,1.3961e-08
0.89692,1.5553e-08
0.99687,1.7104e-08
1.0967,1.8661e-08
1.1969,2.0287e-08
1.2969,2.1855e-08
1.3969,2.3423e-08
1.4968,2.5245e-08
1.5972,2.6832e-08
1.697,2.8449e-08
1.7968,3.0152e-08
1.8968,3.1939e-08
1.9972,3.3568e-08
2.0972,3.5199e-08
2.1972,3.7046e-08
2.2973,3.8724e-08
2.3973,4.0698e-08
2.4973,4.2444e-08
2.5973,4.4182e-08
2.6972,4.592e-08
2.7975,4.7796e-08
2.8976,4.9549e-08
2.9976,5.1452e-08
3.0974,5.345e-08
3.1976,5.5028e-08
3.2977,5.7004e-08
3.3976,5.8846e-08
3.4975,6.0738e-08
3.5976,6.2698e-08
3.6981,6.4483e-08
3.7977,6.6864e-08
3.8977,6.8641e-08
3.9977,7.0734e-08
4.0979,7.2635e-08
4.198,7.4809e-08
4.2981,7.6546e-08
4.398,7.8618e-08
4.498,8.0814e-08
4.5981,8.2792e-08
4.6979,8.5145e-08
4.7979,8.6864e-08
4.8982,8.921e-08
4.9982,9.1342e-08
