Photodiode Current (A),Temperature (C)
1.0901e-06,-268.2852422907489
1.106e-06,-268.3099118942731
1.0826e-06,-268.3416299559471
1.1208e-06,-268.24030837004403
1.0838e-06,-268.39757709251097
1.1202e-06,-268.2680616740088
1.0871e-06,-268.3914096916299
1.1128e-06,-268.2623348017621
1.0823e-06,-268.2958149779735
1.1072e-06,-268.42092511013215
1.0734e-06,-268.2477973568282
1.0932e-06,-268.39625550660793
1.0696e-06,-268.22180616740087
1.1024e-06,-268.36013215859026
1.0667e-06,-268.2314977973568
1.1046e-06,-268.31035242290744
1.0724e-06,-268.25
1.1087e-06,-268.25616740088105
1.0805e-06,-268.2733480176211
1.1057e-06,-268.23017621145374
