Photodiode Current (A),Temperature (C)
-6.99e-08,-272.82574449339205
-8.4367e-08,-272.7735418502202
-7.8673e-08,-272.8027797356828
-7.7751e-08,-272.7979823788546
-8.2567e-08,-272.77086784140965
-8.0138e-08,-272.7794449339207
-8.1206e-08,-272.78544052863435
-7.5009e-08,-272.77557268722467
-8.2316e-08,-272.7699427312775
-7.7919e-08,-272.76874449339203
-1.0687e-07,-272.772436123348
-1.0264e-07,-272.7633039647577
-1.0185e-07,-272.78544052863435
-8.9748e-08,-272.7762158590308
-9.4312e-08,-272.785718061674
-9.4647e-08,-272.7747400881057
-8.4116e-08,-272.7827665198238
-8.6691e-08,-272.8184581497797
-8.9245e-08,-272.7979823788546
-8.5875e-08,-272.8170748898678
