Pixel 1,
V (V),J (A/cm^2)
-5.0023,-0.00023524
-4.9031,-0.0001335
-4.7979,-7.1199e-05
-4.7009,-3.8637e-05
-4.6028,-1.8578e-05
-4.5037,-8.3701e-06
-4.4016,-2.7433e-06
-4.3043,-9.1141e-08
-4.2053,1.0378e-06
-4.1057,1.4467e-06
-4.006,1.629e-06
-3.9056,1.6365e-06
-3.8057,1.6602e-06
-3.7059,1.728e-06
-3.6058,1.7074e-06
-3.5059,1.7034e-06
-3.4056,1.7659e-06
-3.3055,1.7483e-06
-3.2057,1.7916e-06
-3.1059,1.7658e-06
-3.0057,1.8463e-06
-2.9057,1.8329e-06
-2.8057,1.866e-06
-2.7055,1.8616e-06
-2.6056,1.8259e-06
-2.5055,1.896e-06
-2.4055,1.8946e-06
-2.3056,1.8699e-06
-2.2057,1.9191e-06
-2.1056,1.9487e-06
-2.0053,1.9208e-06
-1.9054,1.9806e-06
-1.8055,1.9765e-06
-1.7057,2.0059e-06
-1.6058,2.0255e-06
-1.5054,2.0462e-06
-1.4054,2.0162e-06
-1.3055,2.0469e-06
-1.2056,2.0925e-06
-1.1053,2.058e-06
-1.0055,2.1161e-06
-0.90542,2.1424e-06
-0.80546,2.1029e-06
-0.70551,2.1447e-06
-0.60507,2.1704e-06
-0.50515,2.1328e-06
-0.40529,2.1596e-06
-0.30541,2.195e-06
-0.20545,2.2087e-06
-0.10515,2.1718e-06
-0.0051316,2.1853e-06
0.094738,2.2173e-06
0.19469,2.2502e-06
0.29498,2.2518e-06
0.39474,2.2327e-06
0.4948,2.2677e-06
0.59468,2.2736e-06
0.6949,2.3258e-06
0.79499,2.299e-06
0.895,2.3144e-06
0.99489,2.4044e-06
1.0947,2.3954e-06
1.1949,2.3943e-06
1.2948,2.4585e-06
1.3949,2.4492e-06
1.4948,2.4559e-06
1.5951,2.5214e-06
1.695,2.5177e-06
1.7947,2.5367e-06
1.8946,2.6146e-06
1.995,2.6441e-06
2.095,2.6451e-06
2.1949,2.7357e-06
2.295,2.791e-06
2.395,2.8176e-06
2.4948,2.929e-06
2.5948,2.9538e-06
2.6946,2.9777e-06
2.7949,3.1015e-06
2.8949,3.1893e-06
2.9948,3.2752e-06
3.0945,3.3564e-06
3.1946,3.5094e-06
3.2946,3.5447e-06
3.3945,3.7115e-06
3.4942,3.8413e-06
3.5942,3.9823e-06
3.6946,4.0713e-06
3.794,4.2758e-06
3.8938,4.4795e-06
3.9937,4.7278e-06
4.0936,4.9237e-06
4.1935,5.0393e-06
4.2935,5.1775e-06
4.3931,5.3669e-06
4.4929,5.7064e-06
4.5927,5.8665e-06
4.6922,6.2283e-06
4.7917,6.7172e-06
4.8918,7.0619e-06
4.9915,7.298e-06
