Pixel 1,
V (V),J (A/cm^2)
-4.9978,-7.4512e-05
-4.8994,-5.4138e-05
-4.8009,-3.9225e-05
-4.7018,-2.8337e-05
-4.6027,-2.0475e-05
-4.5032,-1.4774e-05
-4.3939,-1.0357e-05
-4.2968,-7.5548e-06
-4.1988,-5.5064e-06
-4.1002,-4.0154e-06
-4.0014,-2.9351e-06
-3.9019,-2.1476e-06
-3.8024,-1.5809e-06
-3.703,-1.1693e-06
-3.6033,-8.6417e-07
-3.5035,-6.5258e-07
-3.4033,-4.9798e-07
-3.3035,-3.791e-07
-3.2036,-2.9499e-07
-3.1039,-2.3273e-07
-3.0038,-1.8839e-07
-2.9037,-1.5327e-07
-2.8037,-1.279e-07
-2.7036,-1.0787e-07
-2.6037,-9.1085e-08
-2.5035,-7.9172e-08
-2.4036,-6.7217e-08
-2.3037,-5.6745e-08
-2.2038,-5.2941e-08
-2.1036,-4.6484e-08
-2.0034,-4.2583e-08
-1.9034,-3.9047e-08
-1.8035,-3.5022e-08
-1.7037,-3.1662e-08
-1.6038,-2.8843e-08
-1.5034,-2.7625e-08
-1.4034,-2.3026e-08
-1.3034,-2.0654e-08
-1.2035,-1.8044e-08
-1.1033,-1.6098e-08
-1.0034,-1.4165e-08
-0.9033,-1.2235e-08
-0.80336,-1.0458e-08
-0.70336,-8.7697e-09
-0.60293,-7.0499e-09
-0.50307,-5.3113e-09
-0.40311,-3.5771e-09
-0.30327,-1.9531e-09
-0.20328,-3.8079e-10
-0.10296,1.3242e-09
-0.0029622,2.9767e-09
0.096931,4.5818e-09
0.19691,6.323e-09
0.29718,7.9089e-09
0.39693,9.6018e-09
0.49699,1.1342e-08
0.59689,1.3082e-08
0.69716,1.4818e-08
0.79727,1.6647e-08
0.8973,1.8342e-08
0.99723,2.024e-08
1.097,2.1973e-08
1.1972,2.368e-08
1.2972,2.5602e-08
1.3973,2.7419e-08
1.4972,2.9257e-08
1.5976,3.1223e-08
1.6974,3.1229e-08
1.7972,3.2554e-08
1.8972,3.4602e-08
1.9976,3.6148e-08
2.0976,3.802e-08
2.1976,3.9985e-08
2.2977,4.1818e-08
2.3978,4.3759e-08
2.4977,4.5725e-08
2.5977,4.7764e-08
2.6976,4.9352e-08
2.798,5.1296e-08
2.898,5.333e-08
2.998,5.4966e-08
3.0979,5.7438e-08
3.1981,5.9371e-08
3.2981,6.1749e-08
3.3981,6.3364e-08
3.498,6.5439e-08
3.598,6.7284e-08
3.6986,6.9706e-08
3.7982,7.1174e-08
3.8982,7.3505e-08
3.9982,7.7136e-08
4.0985,7.9051e-08
4.1985,8.1293e-08
4.2986,8.6277e-08
4.3984,8.5875e-08
4.4985,8.9965e-08
4.5985,9.582e-08
4.6984,9.7982e-08
4.7984,1.0024e-07
4.8987,1.0275e-07
4.9987,1.0481e-07
