Photodiode Current (A),Temperature (C)
2.0421e-06,-263.88348017621144
2.0754e-06,-264.11519823788547
2.0719e-06,-264.00022026431714
2.0672e-06,-264.03105726872246
2.0976e-06,-263.96982378854625
2.056e-06,-263.9632158590308
2.1036e-06,-264.1544052863436
2.0514e-06,-263.9759911894273
2.1058e-06,-264.1654185022026
2.0515e-06,-263.92973568281934
2.2427e-06,-262.70726872246695
2.2927e-06,-262.87378854625547
2.2718e-06,-262.7328193832599
2.2943e-06,-262.7645374449339
2.3065e-06,-262.68303964757706
2.2975e-06,-262.856167400881
2.3329e-06,-262.64603524229074
2.2967e-06,-262.87334801762114
2.3556e-06,-262.6623348017621
2.3143e-06,-262.7715859030837
