Photodiode Current (A),Temperature (C)
-1.3675e-07,-272.64775330396475
-1.263e-07,-272.63740088105726
-1.2482e-07,-272.65740088105724
-1.1885e-07,-272.66229074889867
-1.2053e-07,-272.65030837004406
-1.1919e-07,-272.62264317180615
-1.1688e-07,-272.67004405286343
-1.1592e-07,-272.65889867841406
-1.1632e-07,-272.6520704845815
-1.1625e-07,-272.6448017621145
-9.5234e-08,-272.7862643171806
-9.4271e-08,-272.8035154185022
-8.8597e-08,-272.79991629955947
-8.4368e-08,-272.81688546255504
-8.956e-08,-272.8088634361233
-8.7634e-08,-272.7888502202643
-8.5122e-08,-272.8119074889868
-8.2086e-08,-272.79143171806163
-8.8346e-08,-272.81707048458145
-8.2588e-08,-272.8076651982379
